  t  | i=0      IO:EXT|0    OQ:1|1    OQ:1|2    IS:1|1    IS:1|2    OS:EXT|0    IL:0    HC    SC    TC  | i=1      IO:0|1    IO:0|2    OQ:11|11    OQ:12|12    IS:11|11    IS:12|12    OS:0|1    OS:0|2    IL:1    IL:2    HC    SC    TC  | i=11      IO:1|11    OQ:EXT|-23    IS:EXT|-23    OS:1|11    IL:11    HC    SC    TC  | i=12      IO:1|12    OQ:EXT|-25    IS:EXT|-25    OS:1|12    IL:12    HC    SC    TC
---  -------  ----------  --------  --------  --------  --------  ----------  ------  ----  ----  ----  -------  --------  --------  ----------  ----------  ----------  ----------  --------  --------  ------  ------  ----  ----  ----  --------  ---------  ------------  ------------  ---------  -------  ----  ----  ----  --------  ---------  ------------  ------------  ---------  -------  ----  ----  ----
  0  |                 5         5         5         0         0           5       2     4     0     4  |               5         5           5           5           0           0         5         5       8       6    14     0    24  |                 5             5             5          5      100     0     0     0  |                 5             5             5          5      100     0     0     0
  1  |                 3         3         3         5         5           3       4     8     0     8  |               3         3           3           3           0           0         3         3       5       3     8     0    14  |                 3             3             3          3      100     0     0     0  |                 3             3             3          3      100     0     0     0
  2  |                 6         6         6         3         3           6       1     2     0     2  |               6         6           6           6           5           5         6         6       4       2     6     0    18  |                 6             6             6          6      100     0     0     0  |                 6             6             6          6      100     0     0     0
  3  |                 6         6         6         6         6           6       1     2     0     2  |               6         6           6           6           3           3         6         5       1      -1     1     0    12  |                 6             6             6          6      100     0     0     0  |                 6             6             6          6      100     0     0     0
  4  |                 6         6         6         6         5           6       0     1     0     1  |               6         6           6           6           6           6         6         6       1      -1     1     0    13  |                 6             6             6          6      100     0     0     0  |                 6             6             6          6      100     0     0     0
  5  |                 7         7         7         6         6           6      -1     1    20    21  |               7         7           7           7           6           6         7         6       0      -2     0     0    13  |                 7             7             7          7      100     0     0     0  |                 7             7             7          7      100     0     0     0
  6  |                 5         5         5         7         6           6       0     2     0     2  |               5         5           5           5           6           6         5         6       1      -1     1     0    12  |                 5             5             5          5      100     0     0     0  |                 5             5             5          5      100     0     0     0
  7  |                 5         5         5         5         6           5       1     3     0     3  |               5         5           5           5           7           7         5         6       3       1     4     0    15  |                 5             5             5          5      100     0     0     0  |                 5             5             5          5      100     0     0     0
  8  |                 5         5         5         5         6           5       2     4     0     4  |               5         5           5           5           5           5         5         5       3       1     4     0    14  |                 5             5             5          5      100     0     0     0  |                 5             5             5          5      100     0     0     0
  9  |                 5         5         5         5         5           5       2     4     0     4  |               5         5           5           5           5           5         5         5       3       1     4     0    14  |                 5             5             5          5      100     0     0     0  |                 5             5             5          5      100     0     0     0
