t,|i=1,DISR,IO:EXT,IOPL:EXT,OQ:2,OQ:3,OO:2,OO:3,IS:2,IS:3,ISPL:2,ISPL:3,RM:2,RM:3,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=2,DISR,IO:1,IOPL:1,OQ:5,OO:5,IS:5,ISPL:5,RM:5,OS:1,DMFS,FR,IL,BO:1,DI:1,HC,SC,ITHC,REV,TC,|i=3,DISR,IO:1,IOPL:1,OQ:4,OO:4,IS:4,ISPL:4,RM:4,OS:1,DMFS,FR,IL,BO:1,DI:1,HC,SC,ITHC,REV,TC,|i=4,DISR,IO:3,IOPL:3,OQ:6,OQ:7,OO:6,OO:7,IS:6,IS:7,ISPL:6,ISPL:7,RM:6,RM:7,OS:3,DMFS,FR,IL,BO:3,DI:3,HC,SC,ITHC,REV,TC,|i=5,DISR,IO:2,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:2,DMFS,FR,IL,BO:2,DI:2,HC,SC,ITHC,REV,TC,|i=6,DISR,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,BO:4,DI:4,HC,SC,ITHC,REV,TC,|i=7,DISR,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,BO:4,DI:4,HC,SC,ITHC,REV,TC
10,|,False,8,[0],8,8,8,8,9,9,"[0, 8]","[0, 8]",0,0,9.0,8.0,0.9137931034482759,0,0,0,0,0,0.0,0.0,0.0,|,False,8,[0],8.0,8.0,9.0,"[0.0, 8.0]",0.0,8,8.0,0.9655172413793104,8.0,0,0,0.0,0,0,0,0.0,|,False,8,[0],8.0,21.0,5.0,"[0.0, 4.0, 9.0, 8.0]",0.0,8,8.0,1.0,11.0,0,0,0.0,0,0,0,0.0,|,True,8.0,[0],9.0,9.0,30.0,30.0,0.0,0.0,"[0.0, 0, 0]","[0.0, 0, 0]",0.0,0.0,8.0,8.0,0.9393939393939394,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,8.0,[0],8.0,27.0,0.0,"[0.0, 7.0, 3.0, 9.0, 8.0]",0.0,8.0,8.0,1.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,9.0,[0],17.0,17.0,8.0,"[0.0, 17.0]",0.0,0,0.0,0.175,18.0,0.0,30.0,0.0,0,0.0,0,0.0,|,False,9.0,[0],18.0,36.0,0.0,"[0.0, 18.0, 18.0]",0.0,0,0.0,0.275,8.0,0.0,30.0,0.0,0,0.0,0,0.0
11,|,False,10,[0],10,10,10,10,8,8,"[0, 10]","[0, 10]",0,0,8.0,8.0,0.8970588235294118,-2,2.0,0,0,0,0.0,0.0,0.0,|,False,10,[0],10.0,10.0,8.0,"[0.0, 10.0]",0.0,10,10.0,0.9705882352941176,6.0,0,0,0.0,0,0,0,0.0,|,False,10,[0],10.0,27.0,4.0,"[0.0, 9.0, 8.0, 0.0]",0.0,10,10.0,1.0,5.0,0,0,0.0,0,0,0,0.0,|,True,10.0,[0],1.0,1.0,31.0,31.0,0.0,0.0,"[0.0, 0, 0]","[0.0, 0, 0]",0.0,0.0,0.0,0.0,0.8157894736842105,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,10.0,[0],6.0,26.0,7.0,"[0.0, 3.0, 9.0, 8.0, 6.0]",0.0,10.0,10.0,1.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,1.0,[0],0.0,0.0,17.0,"[0.0, 0.0]",0.0,0,0.0,0.1728395061728395,34.0,0.0,31.0,0.0,0,0.0,0,0.0,|,False,1.0,[0],9.0,27.0,18.0,"[0.0, 18.0, 9.0]",0.0,0,0.0,0.2716049382716049,25.0,0.0,31.0,0.0,0,0.0,0,0.0
12,|,False,2,[0],2,2,2,2,10,10,"[0, 2]","[0, 2]",0,0,4.0,2.0,0.9,6,0.0,0,0,0,0.0,0.0,0.0,|,False,2,[0],0.0,0.0,10.0,"[0.0, 0.0]",0.0,2,2.0,0.9714285714285714,14.0,0,0,0.0,0,0,0,0.0,|,False,2,[0],0.0,18.0,9.0,"[0.0, 8.0, 0.0, 0.0]",0.0,2,2.0,1.0,12.0,0,0,0.0,0,0,0,0.0,|,True,0.0,[0],0.0,0.0,31.0,31.0,0.0,0.0,"[0.0, 0, 0]","[0.0, 0, 0]",0.0,0.0,0.0,0.0,0.8157894736842105,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,0.0,[0],4.0,27.0,3.0,"[0.0, 9.0, 8.0, 6.0, 4.0]",0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0,0.0,0.1728395061728395,34.0,0.0,31.0,0.0,0,0.0,0,0.0,|,False,0.0,[0],10.0,19.0,18.0,"[0.0, 9.0, 10.0]",0.0,0,0.0,0.2716049382716049,43.0,0.0,31.0,0.0,0,0.0,0,0.0
13,|,False,3,[0],3,3,3,3,2,2,"[0, 3]","[0, 3]",0,0,3.0,3.0,0.9041095890410958,5,0.0,0,0,0,0.0,0.0,0.0,|,False,3,[0],5.0,5.0,0.0,"[0.0, 5.0]",0.0,3,3.0,0.9726027397260274,11.0,0,0,0.0,0,0,0,0.0,|,False,3,[0],0.0,10.0,8.0,"[0.0, 0.0, 0.0, 0.0]",0.0,3,3.0,1.0,17.0,0,0,0.0,0,0,0,0.0,|,True,0.0,[0],0.0,0.0,31.0,31.0,0.0,0.0,"[0.0, 0, 0]","[0.0, 0, 0]",0.0,0.0,0.0,0.0,0.8157894736842105,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,5.0,[0],7.0,25.0,9.0,"[0.0, 8.0, 6.0, 4.0, 7.0]",0.0,5.0,5.0,1.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],19.0,19.0,0.0,"[0.0, 19.0]",0.0,0,0.0,0.1728395061728395,34.0,0.0,31.0,0.0,0,0.0,0,0.0,|,False,0.0,[0],2.0,12.0,9.0,"[0.0, 10.0, 2.0]",0.0,0,0.0,0.2716049382716049,52.0,0.0,31.0,0.0,0,0.0,0,0.0
14,|,False,2,[0],2,2,2,2,3,3,"[0, 2]","[0, 2]",0,0,2.0,2.0,0.9066666666666666,6,0.0,0,0,0,0.0,0.0,0.0,|,False,2,[0],2.0,2.0,5.0,"[0.0, 2.0]",0.0,2,2.0,0.9733333333333334,14.0,0,0,0.0,0,0,0,0.0,|,False,2,[0],0.0,10.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,2,2.0,1.0,15.0,0,0,0.0,0,0,0,0.0,|,True,0.0,[0],0.0,0.0,31.0,31.0,0.0,0.0,"[0.0, 0, 0]","[0.0, 0, 0]",0.0,0.0,0.0,0.0,0.8157894736842105,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,2.0,[0],0.0,17.0,8.0,"[0.0, 6.0, 4.0, 7.0, 0.0]",0.0,2.0,2.0,1.0,21.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],1.0,1.0,19.0,"[0.0, 1.0]",0.0,0,0.0,0.1728395061728395,53.0,0.0,31.0,0.0,0,0.0,0,0.0,|,False,0.0,[0],3.0,5.0,10.0,"[0.0, 2.0, 3.0]",0.0,0,0.0,0.2716049382716049,62.0,0.0,31.0,0.0,0,0.0,0,0.0
15,|,False,6,[0],6,6,6,6,2,2,"[0, 6]","[0, 6]",0,0,6.0,6.0,0.9135802469135802,2,0.0,0,0,0,0.0,0.0,0.0,|,False,6,[0],5.0,5.0,2.0,"[0.0, 5.0]",0.0,6,6.0,0.9753086419753086,10.0,0,0,0.0,0,0,0,0.0,|,False,6,[0],0.0,10.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,6,6.0,1.0,9.0,0,0,0.0,0,0,0,0.0,|,False,0.0,[0],7.0,7.0,38.0,38.0,0.0,0.0,"[0.0, 0, 38.0]","[0.0, 0, 38.0]",0.0,0.0,0.0,0.0,0.8157894736842105,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,5.0,[0],5.0,16.0,6.0,"[0.0, 4.0, 7.0, 0.0, 5.0]",0.0,5.0,5.0,1.0,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,7.0,[0],14.0,14.0,1.0,"[0.0, 14.0]",0.0,38.0,38.0,0.5909090909090909,47.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,7.0,[0],9.0,12.0,2.0,"[0.0, 3.0, 9.0]",0.0,38.0,38.0,0.6818181818181818,57.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16,|,False,6,[0],6,6,6,6,6,6,"[0, 6]","[0, 6]",0,0,6.0,6.0,0.9195402298850575,2,0.0,0,0,0,0.0,0.0,0.0,|,False,6,[0],0.0,0.0,5.0,"[0.0, 0.0]",0.0,6,6.0,0.9770114942528736,9.0,0,0,0.0,0,0,0,0.0,|,False,6,[0],0.0,10.0,0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,6,6.0,1.0,3.0,0,0,0.0,0,0,0,0.0,|,False,0.0,[0],3.0,3.0,41.0,41.0,0.0,0.0,"[0.0, 38.0, 3.0]","[0.0, 38.0, 3.0]",0.0,0.0,0.0,0.0,0.8157894736842105,-10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,0.0,[0],1.0,13.0,4.0,"[0.0, 7.0, 0.0, 5.0, 1.0]",0.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,3.0,[0],0.0,0.0,14.0,"[0.0, 0.0]",0.0,3.0,3.0,0.6043956043956044,58.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,3.0,[0],0.0,9.0,3.0,"[0.0, 9.0, 0.0]",0.0,3.0,3.0,0.6923076923076923,57.0,0.0,0.0,0.0,0,0.0,0.0,0.0
17,|,False,8,[0],8,8,8,8,6,6,"[0, 8]","[0, 3.0]",0,0,8,8.0,0.9263157894736842,0,0.0,0,0,0,0.0,0,0.0,|,False,8,[0],2.0,2.0,0.0,"[0.0, 2.0]",0.0,8,8.0,0.9789473684210527,1.0,0,0,0.0,0,0,0,0.0,|,False,8,[0],0.0,10.0,0.0,"[0.0, 0.0, 0.0, 10.0]",0.0,3.0,3.0,0.9473684210526315,-5.0,5.0,0,0.0,0.0,0.0,0.0,0.0,|,True,0.0,[0],5.0,5.0,8.0,8.0,38.0,38.0,"[0.0, 3.0, 0]","[0.0, 3.0, 0]",0.0,0.0,10.0,0.0,0.8157894736842105,28.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,2.0,[0],8.0,14.0,7.0,"[0.0, 0.0, 5.0, 1.0, 8.0]",0.0,2.0,2.0,1.0,31.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,5.0,[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0,0.0,0.5729166666666666,53.0,0.0,5.0,0.0,0,0.0,0,0.0,|,False,5.0,[0],0.0,0.0,9.0,"[0.0, 0.0, 0.0]",0.0,0,0.0,0.65625,61.0,0.0,5.0,0.0,0,0.0,0,0.0
18,|,False,1,[0],1,1,1,6.0,8,3.0,"[0, 1]","[0.0, 0.0]",5.0,0.0,1.0,1.0,0.9270833333333334,2.0,0.0,0,0.0,0,0.0,0.0,0.0,|,False,1,[0],0.0,0.0,2.0,"[0.0, 0.0]",0.0,1,1.0,0.9791666666666666,2.0,0,0,0.0,0,0,0,0.0,|,False,1,[0],28.0,38.0,0.0,"[0.0, 0.0, 10.0, 28.0]",0.0,0.0,0.0,0.9375,-6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,28.0,[0],41.0,41.0,46.0,46.0,3.0,3.0,"[0.0, 0, 46.0]","[0.0, 0, 46.0]",0.0,0.0,28.0,28.0,0.8653846153846154,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],6.0,20.0,0.0,"[0.0, 5.0, 1.0, 8.0, 6.0]",0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,41.0,[0],28.0,28.0,0.0,"[0.0, 28.0]",0.0,46.0,46.0,0.7372262773722628,12.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,41.0,[0],28.0,28.0,0.0,"[0.0, 0.0, 28.0]",0.0,46.0,46.0,0.7956204379562044,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0
19,|,False,9,[0],6.0,6.0,6.0,12.0,1,0.0,"[0, 2.0]","[0.0, 0.0]",6.0,0.0,2.0,2.0,0.8666666666666667,-7.0,7.0,0,0.0,0.0,0.0,0.0,0.0,|,False,6.0,[0],3.0,3.0,0.0,"[0.0, 3.0]",0.0,2.0,2.0,0.9411764705882353,-4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,|,False,6.0,[0],6.0,44.0,0.0,"[0.0, 10.0, 28.0, 3.0]",0.0,0.0,0.0,0.8823529411764706,-12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,6.0,[0],0.0,0.0,46.0,46.0,0.0,0.0,"[0.0, 46.0, 0.0]","[0.0, 46.0, 0.0]",0.0,0.0,3.0,3.0,0.8454545454545455,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,3.0,[0],9.0,24.0,5.0,"[0.0, 1.0, 8.0, 6.0, 9.0]",0.0,3.0,3.0,1.0,33.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,28.0,"[0.0, 0.0]",0.0,0.0,0.0,0.7372262773722628,40.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,28.0,0.0,"[0.0, 28.0, 0.0]",0.0,0.0,0.0,0.7956204379562044,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0
