t,|i=1,IO:EXT,IOPL:EXT,OQ:2,OQ:3,OO:2,OO:3,IS:2,IS:3,ISPL:2,ISPL:3,RM:2,RM:3,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:1,IOPL:1,OQ:5,OO:5,IS:5,ISPL:5,RM:5,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC,|i=3,IO:1,IOPL:1,OQ:4,OO:4,IS:4,ISPL:4,RM:4,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC,|i=4,IO:3,IOPL:3,OQ:6,OQ:7,OO:6,OO:7,IS:6,IS:7,ISPL:6,ISPL:7,RM:6,RM:7,OS:3,DMFS,FR,IL,HC,SC,ITHC,TC,|i=5,IO:2,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=6,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,HC,SC,ITHC,TC,|i=7,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,HC,SC,ITHC,TC
10,|,1,[0],1.0,1.0,1.0,1.0,7.0,7.0,"[0, 1.0, 0]","[0, 1.0, 0]",0.0,0.0,2.0,1.0,0.9019607843137255,5.0,0.0,0,0.0,0.0,|,1.0,[0],1.0,1.0,7.0,"[0, 1.0, 0]",0.0,1.0,1.0,1.0,13.0,0.0,0,0.0,0.0,|,1.0,[0],1.0,10.0,7.0,"[0, 2.0, 7.0, 1.0, 0, 0, 0]",0.0,1.0,1.0,1.0,17.0,0.0,0,0.0,0.0,|,1.0,[0],0.0,0.0,2.0,2.0,9.0,9.0,"[0, 2.0, 0.0, 0, 0]","[0, 2.0, 0.0, 0, 0]",0.0,0.0,1.0,1.0,0.9615384615384616,8.0,0.0,0,0.0,0.0,|,1.0,[0],1.0,19.0,4.0,"[0, 7.0, 4.0, 7.0, 1.0, 0, 0, 0, 0]",0.0,1.0,1.0,1.0,6.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,1.0,0.0,"[0, 1.0, 0]",0.0,0.0,0.0,0.9782608695652174,19.0,0.0,0,0.0,0.0,|,0.0,[0],2.0,2.0,9.0,"[0, 0.0, 2.0, 0, 0]",0.0,0.0,0.0,1.0,29.0,0.0,0,0.0,0.0
11,|,1,[0],1.0,1.0,1.0,1.0,1.0,1.0,"[0, 1.0, 0]","[0, 1.0, 0]",0.0,0.0,1.0,1.0,0.9038461538461539,5.0,0.0,0,0.0,0.0,|,1.0,[0],1.0,1.0,1.0,"[0, 1.0, 0]",0.0,1.0,1.0,1.0,13.0,0.0,0,0.0,0.0,|,1.0,[0],3.0,11.0,2.0,"[0, 7.0, 1.0, 3.0, 0, 0, 0]",0.0,1.0,1.0,1.0,18.0,0.0,0,0.0,0.0,|,3.0,[0],0.0,0.0,0.0,0.0,2.0,2.0,"[0, 0.0, 0.0, 0, 0]","[0, 0.0, 0.0, 0, 0]",0.0,0.0,3.0,3.0,0.9636363636363636,7.0,0.0,0,0.0,0.0,|,1.0,[0],1.0,13.0,7.0,"[0, 4.0, 7.0, 1.0, 1.0, 0, 0, 0, 0]",0.0,1.0,1.0,1.0,12.0,0.0,0,0.0,0.0,|,0.0,[0],2.0,2.0,1.0,"[0, 2.0, 0]",0.0,0.0,0.0,0.9782608695652174,20.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,3.0,0.0,"[0, 2.0, 1.0, 0, 0]",0.0,0.0,0.0,1.0,29.0,0.0,0,0.0,0.0
12,|,9,[0],9.0,9.0,9.0,9.0,1.0,1.0,"[0, 9.0, 0]","[0, 9.0, 0]",0.0,0.0,6.0,6.0,0.8688524590163934,-3.0,0.0,0.0,0.0,0.0,|,9.0,[0],9.0,9.0,1.0,"[0, 9.0, 0]",0.0,9.0,9.0,1.0,5.0,0.0,0,0.0,0.0,|,9.0,[0],9.0,13.0,7.0,"[0, 1.0, 3.0, 7.0, 0, 0, 0]",0.0,9.0,9.0,1.0,16.0,0.0,0,0.0,0.0,|,9.0,[0],17.0,17.0,17.0,17.0,0.0,0.0,"[0, 0.0, 17.0, 0, 0]","[0, 0.0, 17.0, 0, 0]",0.0,0.0,7.0,7.0,0.9375,-2.0,0.0,0.0,0.0,0.0,|,9.0,[0],9.0,18.0,4.0,"[0, 7.0, 1.0, 1.0, 9.0, 0, 0, 0, 0]",0.0,9.0,9.0,1.0,7.0,0.0,0,0.0,0.0,|,17.0,[0],18.0,18.0,2.0,"[0, 18.0, 0]",0.0,17.0,17.0,0.9841269841269841,5.0,0.0,0,0.0,0.0,|,17.0,[0],18.0,19.0,2.0,"[0, 1.0, 18.0, 0, 0]",0.0,17.0,17.0,1.0,14.0,0.0,0,0.0,0.0
13,|,8,[0],8.0,8.0,8.0,8.0,9.0,9.0,"[0, 8.0, 0]","[0, 8.0, 0]",0.0,0.0,9.0,6.0,0.855072463768116,-2.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,9.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,6.0,0.0,0,0.0,0.0,|,8.0,[0],6.0,18.0,1.0,"[0, 3.0, 7.0, 0.0, 0, 0, 0]",0.0,8.0,8.0,1.0,9.0,0.0,0,0.0,0.0,|,6.0,[0],2.0,2.0,19.0,19.0,0.0,0.0,"[0, 17.0, 2.0, 0, 0]","[0, 17.0, 2.0, 0, 0]",0.0,0.0,0.0,0.0,0.8571428571428571,-8.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,19.0,7.0,"[0, 1.0, 1.0, 9.0, 8.0, 0, 0, 0, 0]",0.0,8.0,8.0,1.0,6.0,0.0,0,0.0,0.0,|,2.0,[0],0.0,0.0,18.0,"[0, 0.0, 0]",0.0,2.0,2.0,0.9846153846153847,21.0,0.0,0,0.0,0.0,|,2.0,[0],0.0,18.0,1.0,"[0, 18.0, 0.0, 0, 0]",0.0,2.0,2.0,1.0,13.0,0.0,0,0.0,0.0
14,|,10,[0],10.0,10.0,10.0,10.0,8.0,8.0,"[0, 10.0, 0]","[0, 10.0, 0]",0.0,0.0,8.0,6.0,0.8227848101265823,-4.0,0.0,0.0,0.0,0.0,|,10.0,[0],10.0,10.0,8.0,"[0, 7.0, 0]",0.0,10.0,10.0,1.0,4.0,0.0,0,0.0,0.0,|,10.0,[0],2.0,17.0,3.0,"[0, 7.0, 0.0, 10.0, 0, 0, 0]",0.0,10.0,10.0,1.0,2.0,0.0,0,0.0,0.0,|,2.0,[0],12.0,12.0,14.0,14.0,17.0,17.0,"[0, 2.0, 12.0, 0, 0]","[0, 2.0, 12.0, 0, 0]",0.0,0.0,10.0,2.0,0.8611111111111112,7.0,0.0,0,0.0,0.0,|,10.0,[0],10.0,28.0,1.0,"[0, 1.0, 9.0, 8.0, 10.0, 0, 0, 0, 0]",0.0,7.0,7.0,0.963855421686747,-3.0,0,0.0,0.0,0.0,|,12.0,[0],4.0,4.0,0.0,"[0, 4.0, 0]",0.0,12.0,12.0,0.987012987012987,9.0,0.0,0,0.0,0.0,|,12.0,[0],12.0,12.0,18.0,"[0, 0.0, 12.0, 0, 0]",0.0,12.0,12.0,1.0,19.0,0.0,0,0.0,0.0
15,|,2,[0],2.0,2.0,2.0,2.0,10.0,10.0,"[0, 2.0, 0]","[0, 2.0, 0]",0.0,0.0,6.0,2.0,0.8271604938271605,4.0,0.0,0,0.0,0.0,|,2.0,[0],0.0,3.0,7.0,"[0, 1.0, 0]",0.0,2.0,2.0,1.0,9.0,0.0,0,0.0,0.0,|,2.0,[0],9.0,19.0,7.0,"[0, 0.0, 10.0, 9.0, 0, 0, 0]",0.0,2.0,2.0,1.0,7.0,0.0,0,0.0,0.0,|,9.0,[0],7.0,7.0,19.0,19.0,2.0,2.0,"[0, 12.0, 7.0, 0, 0]","[0, 12.0, 7.0, 0, 0]",0.0,0.0,9.0,9.0,0.8765432098765432,0.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,27.0,1.0,"[0, 9.0, 8.0, 10.0, 0.0, 0, 0, 0, 0]",0.0,1.0,0.0,0.963855421686747,-2.0,0,0.0,0.0,0.0,|,7.0,[0],13.0,13.0,4.0,"[0, 13.0, 0]",0.0,7.0,7.0,0.9880952380952381,6.0,0.0,0,0.0,0.0,|,7.0,[0],5.0,17.0,0.0,"[0, 12.0, 5.0, 0, 0]",0.0,7.0,7.0,1.0,12.0,0.0,0,0.0,0.0
16,|,3,[0],3.0,3.0,3.0,3.0,2.0,2.0,"[0, 3.0, 0]","[0, 3.0, 0]",0.0,0.0,3.0,3.0,0.8333333333333334,3.0,0.0,0,0.0,0.0,|,3.0,[0],0.0,2.0,1.0,"[0, 2.0, 0]",0.0,3.0,3.0,1.0,7.0,0.0,0,0.0,0.0,|,3.0,[0],3.0,22.0,0.0,"[0, 10.0, 9.0, 3.0, 0, 0, 0]",0.0,3.0,3.0,1.0,4.0,0.0,0,0.0,0.0,|,3.0,[0],0.0,0.0,7.0,7.0,12.0,12.0,"[0, 7.0, 0.0, 0, 0]","[0, 7.0, 0.0, 0, 0]",0.0,0.0,3.0,3.0,0.8809523809523809,9.0,0.0,0,0.0,0.0,|,0.0,[0],2.0,20.0,9.0,"[0, 8.0, 10.0, 0.0, 2.0, 0, 0, 0, 0]",0.0,2.0,0.0,0.963855421686747,7.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,13.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.9880952380952381,19.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,5.0,12.0,"[0, 5.0, 0.0, 0, 0]",0.0,0.0,0.0,1.0,24.0,0.0,0,0.0,0.0
17,|,6,[0],6.0,6.0,6.0,6.0,3.0,3.0,"[0, 6.0, 0]","[0, 6.0, 0]",0.0,0.0,6.0,6.0,0.8444444444444444,0.0,0.0,0,0.0,0.0,|,6.0,[0],10.0,10.0,2.0,"[0, 10.0, 0]",0.0,6.0,6.0,1.0,3.0,0.0,0,0.0,0.0,|,6.0,[0],9.0,21.0,10.0,"[0, 9.0, 3.0, 9.0, 0, 0, 0]",0.0,6.0,6.0,1.0,8.0,0.0,0,0.0,0.0,|,9.0,[0],8.0,8.0,8.0,8.0,7.0,7.0,"[0, 0.0, 8.0, 0, 0]","[0, 0.0, 8.0, 0, 0]",0.0,0.0,9.0,9.0,0.8924731182795699,7.0,0.0,0,0.0,0.0,|,10.0,[0],13.0,25.0,8.0,"[0, 10.0, 0.0, 2.0, 13.0, 0, 0, 0, 0]",0.0,10.0,10.0,0.967741935483871,5.0,0.0,0,0.0,0.0,|,8.0,[0],6.0,6.0,0.0,"[0, 6.0, 0]",0.0,8.0,8.0,0.9891304347826086,11.0,0.0,0,0.0,0.0,|,8.0,[0],6.0,6.0,5.0,"[0, 0.0, 6.0, 0, 0]",0.0,8.0,8.0,1.0,21.0,0.0,0,0.0,0.0
18,|,6,[0],6.0,6.0,6.0,6.0,6.0,6.0,"[0, 6.0, 0]","[0, 6.0, 0]",0.0,0.0,6.0,6.0,0.8541666666666666,0.0,0.0,0,0.0,0.0,|,6.0,[0],4.0,4.0,10.0,"[0, 4.0, 0]",0.0,6.0,6.0,1.0,7.0,0.0,0,0.0,0.0,|,6.0,[0],6.0,18.0,9.0,"[0, 3.0, 9.0, 6.0, 0, 0, 0]",0.0,6.0,6.0,1.0,11.0,0.0,0,0.0,0.0,|,6.0,[0],0.0,0.0,8.0,8.0,0.0,0.0,"[0, 8.0, 0.0, 0, 0]","[0, 8.0, 0.0, 0, 0]",0.0,0.0,6.0,6.0,0.898989898989899,1.0,0.0,0,0.0,0.0,|,4.0,[0],0.0,15.0,10.0,"[0, 0.0, 2.0, 13.0, 0.0, 0, 0, 0, 0]",0.0,4.0,4.0,0.9690721649484536,11.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,6.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.9891304347826086,17.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,6.0,0.0,"[0, 6.0, 0.0, 0, 0]",0.0,0.0,0.0,1.0,21.0,0.0,0,0.0,0.0
19,|,9,[0],9.0,9.0,9.0,9.0,6.0,6.0,"[0, 9.0, 0]","[0, 9.0, 0]",0.0,0.0,6.0,6.0,0.8380952380952381,-3.0,0.0,0.0,0.0,0.0,|,9.0,[0],12.0,12.0,4.0,"[0, 11.0, 0]",0.0,9.0,9.0,1.0,2.0,0.0,0,0.0,0.0,|,9.0,[0],9.0,24.0,3.0,"[0, 9.0, 6.0, 9.0, 0, 0, 0]",0.0,9.0,9.0,1.0,5.0,0.0,0,0.0,0.0,|,9.0,[0],22.0,22.0,22.0,22.0,8.0,8.0,"[0, 0.0, 17.0, 0, 0]","[0, 0.0, 22.0, 0, 0]",0.0,0.0,9.0,9.0,0.9074074074074074,0.0,0.0,0,0.0,0.0,|,12.0,[0],14.0,29.0,0.0,"[0, 2.0, 13.0, 0.0, 14.0, 0, 0, 0, 0]",0.0,11.0,11.0,0.963302752293578,-1.0,0,0.0,0.0,0.0,|,22.0,[0],26.0,26.0,0.0,"[0, 26.0, 0]",0.0,17.0,17.0,0.9473684210526315,-5.0,0,0.0,0.0,0.0,|,22.0,[0],26.0,26.0,6.0,"[0, 0.0, 26.0, 0, 0]",0.0,22.0,22.0,1.0,5.0,0.0,0,0.0,0.0
20,|,9,[0],9.0,9.0,9.0,9.0,9.0,9.0,"[0, 9.0, 0]","[0, 9.0, 0]",0.0,0.0,9.0,6.0,0.8245614035087719,-3.0,0.0,0.0,0.0,0.0,|,9.0,[0],6.0,7.0,11.0,"[0, 2.0, 0]",0.0,9.0,9.0,1.0,4.0,0.0,0,0.0,0.0,|,9.0,[0],9.0,24.0,9.0,"[0, 6.0, 9.0, 0.0, 0, 0, 0]",0.0,9.0,9.0,1.0,5.0,0.0,0,0.0,0.0,|,9.0,[0],1.0,1.0,23.0,23.0,0.0,0.0,"[0, 17.0, 6.0, 0, 0]","[0, 22.0, 1.0, 0, 0]",0.0,0.0,0.0,0.0,0.8376068376068376,-9.0,0.0,0.0,0.0,0.0,|,6.0,[0],3.0,30.0,2.0,"[0, 13.0, 0.0, 14.0, 3.0, 0, 0, 0, 0]",0.0,2.0,1.0,0.9217391304347826,-5.0,0,0.0,0.0,0.0,|,1.0,[0],0.0,0.0,26.0,"[0, 0.0, 0]",0.0,6.0,1.0,0.9478260869565217,20.0,0.0,0,0.0,0.0,|,1.0,[0],0.0,26.0,0.0,"[0, 26.0, 0.0, 0, 0]",0.0,1.0,1.0,1.0,4.0,0.0,0,0.0,0.0
