t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
13,|,7.0,[0],7.0,8.0,7.0,"[0, 8.0, 0]",0.0,7.0,6.0,0.8125,-1.0,0.0,100.0,0.0,100.0,|,7.0,[0],7.0,7.0,8.0,"[0, 7.0, 0]",0.0,8.0,7.0,0.8375,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9125,0.0,0,0,0.0,0.0
14,|,2.0,[0],2.0,2.0,8.0,"[0, 2.0, 0]",0.0,3.0,2.0,0.8170731707317073,5.0,50.0,0,0.0,50.0,|,2.0,[0],2.0,2.0,7.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.8414634146341463,5.0,25.0,0,0.0,25.0,|,2.0,[0],2.0,2.0,7.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.9146341463414634,5.0,5.0,0,0.0,5.0
15,|,8.0,[0],8.0,8.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8222222222222222,-1.0,0.0,100.0,0.0,100.0,|,8.0,[0],8.0,8.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8444444444444444,-1.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,2.0,"[0, 8.0, 0]",0.0,7.0,7.0,0.9111111111111111,-1.0,0,0.0,0.0,0.0
16,|,0,[0],0.0,1.0,7.0,"[0, 1.0, 0]",0.0,1.0,0.0,0.8222222222222222,6.0,60.0,0,0.0,60.0,|,0.0,[0],0.0,1.0,7.0,"[0, 1.0, 0]",0.0,1.0,0.0,0.8444444444444444,6.0,30.0,0,0.0,30.0,|,0.0,[0],0.0,0.0,8.0,"[0, 0.0, 0]",0.0,1.0,0.0,0.9111111111111111,7.0,7.0,0,0.0,7.0
17,|,2.0,[0],2.0,2.0,1.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.8260869565217391,5.0,50.0,0,0.0,50.0,|,2.0,[0],2.0,2.0,1.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.8478260869565217,5.0,25.0,0,0.0,25.0,|,2.0,[0],2.0,2.0,0.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.9130434782608695,5.0,5.0,0,0.0,5.0
18,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8383838383838383,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8585858585858586,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9191919191919192,0.0,0,0,0.0,0.0
19,|,9.0,[0],9.0,9.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8333333333333334,-2.0,0.0,200.0,0.0,200.0,|,9.0,[0],9.0,9.0,7.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8518518518518519,-2.0,0.0,0.0,0.0,0.0,|,9.0,[0],9.0,9.0,7.0,"[0, 9.0, 0]",0.0,7.0,7.0,0.9074074074074074,-2.0,0,0.0,0.0,0.0
20,|,5.0,[0],5.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,5.0,0.8407079646017699,0.0,0.0,0,0.0,0.0,|,5.0,[0],5.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,5.0,0.8584070796460177,0.0,0.0,0,0.0,0.0,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,7.0,5.0,0.911504424778761,2.0,2.0,0,0.0,2.0
21,|,3.0,[0],3.0,3.0,7.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8448275862068966,4.0,40.0,0,0.0,40.0,|,3.0,[0],3.0,3.0,7.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8620689655172413,4.0,20.0,0,0.0,20.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.9137931034482759,4.0,4.0,0,0.0,4.0
22,|,8.0,[0],8.0,8.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8467741935483871,-1.0,0.0,100.0,0.0,100.0,|,8.0,[0],8.0,8.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8629032258064516,-1.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,3.0,"[0, 8.0, 0]",0.0,7.0,7.0,0.9112903225806451,-1.0,0,0.0,0.0,0.0
