t,|i=0,IO:EXT,IOPL:EXT,OQ:1,OQ:2,OO:1,OO:2,IS:1,IS:2,ISPL:1,ISPL:2,RM:1,RM:2,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC
10,|,43.48706562442514,[0],43.48706562442514,43.48706562442514,43.48706562442514,43.48706562442514,51.1689578086242,51.1689578086242,"[0, 43.48706562442514, 0]","[0, 43.48706562442514, 0]",0.0,0.0,43.48706562442514,43.48706562442514,0.7638936748205287,16.51293437557485,0.0,0,0.0,0.0,|,43.48706562442514,[0],43.48706562442515,43.487065624425114,51.1689578086242,"[0, 43.48706562442515, 0]",0.0,43.48706562442514,43.48706562442514,0.8047535505467156,16.51293437557488,0.0,0,0.0,0.0,|,43.48706562442514,[0],43.48706562442515,43.487065624425114,51.1689578086242,"[0, 43.48706562442515, 0]",0.0,43.48706562442514,43.48706562442514,0.8047535505467156,16.51293437557488,0.0,0,0.0,0.0
11,|,61.38417397298955,[0],61.38417397298956,61.38417397298956,61.38417397298956,61.38417397298956,43.48706562442514,43.48706562442514,"[0, 60.00000000000003, 0]","[0, 60.00000000000003, 0]",0.0,0.0,59.99999999999999,59.99999999999999,0.7848489731950354,-1.384173972989558,0.0,0.0,0.0,0.0,|,61.38417397298956,[0],61.384173972989565,61.38417397298952,43.48706562442515,"[0, 61.384173972989565, 0]",0.0,60.00000000000003,60.00000000000003,0.8202163907634485,-1.3841739729895295,0,0.0,0.0,0.0,|,61.38417397298956,[0],61.384173972989565,61.38417397298952,43.48706562442515,"[0, 61.384173972989565, 0]",0.0,60.00000000000003,60.00000000000003,0.8202163907634485,-1.3841739729895295,0,0.0,0.0,0.0
12,|,58.46005835150972,[0],58.46005835150972,58.46005835150972,59.844232324499245,59.844232324499245,60.00000000000003,60.00000000000003,"[0, 59.84423232449925, 0]","[0, 59.84423232449925, 0]",0.0,0.0,59.84423232449928,58.46005835150972,0.8032366611415318,0.15576767550074777,0.0,0,0.0,0.0,|,58.46005835150972,[0],58.46005835150973,58.46005835150968,61.384173972989565,"[0, 58.46005835150973, 0]",0.0,59.84423232449925,58.46005835150972,0.8343423689260908,1.5399416484903128,0.0,0,0.0,0.0,|,58.46005835150972,[0],58.46005835150973,58.46005835150968,61.384173972989565,"[0, 58.46005835150973, 0]",0.0,59.84423232449925,58.46005835150972,0.8343423689260908,1.5399416484903128,0.0,0,0.0,0.0
13,|,58.1362227401783,[0],58.136222740178304,58.136222740178304,58.136222740178304,58.136222740178304,59.84423232449925,59.84423232449925,"[0, 58.136222740178304, 0]","[0, 58.136222740178304, 0]",0.0,0.0,58.1362227401783,58.1362227401783,0.8186497416517525,1.8637772598217026,0.0,0,0.0,0.0,|,58.136222740178304,[0],58.13622274017831,58.136222740178255,58.46005835150973,"[0, 58.13622274017831, 0]",0.0,58.136222740178304,58.136222740178304,0.8463482365696491,1.8637772598217381,0.0,0,0.0,0.0,|,58.136222740178304,[0],58.13622274017831,58.136222740178255,58.46005835150973,"[0, 58.13622274017831, 0]",0.0,58.136222740178304,58.136222740178304,0.8463482365696491,1.8637772598217381,0.0,0,0.0,0.0
14,|,36.45920065124633,[0],36.45920065124632,36.45920065124632,36.45920065124631,36.45920065124631,58.136222740178304,58.136222740178304,"[0, 36.45920065124632, 0]","[0, 36.45920065124632, 0]",0.0,0.0,36.45920065124633,36.45920065124633,0.8271414759261231,23.54079934875368,0.0,0,0.0,0.0,|,36.45920065124632,[0],36.45920065124633,36.45920065124628,58.13622274017831,"[0, 36.45920065124633, 0]",0.0,36.45920065124632,36.45920065124632,0.8530282347873145,23.54079934875373,0.0,0,0.0,0.0,|,36.45920065124632,[0],36.45920065124633,36.45920065124628,58.13622274017831,"[0, 36.45920065124633, 0]",0.0,36.45920065124632,36.45920065124632,0.8530282347873145,23.54079934875373,0.0,0,0.0,0.0
15,|,61.74922033899645,[0],61.74922033899646,61.74922033899646,61.74922033899645,61.74922033899645,36.45920065124632,36.45920065124632,"[0, 60.00000000000006, 0]","[0, 60.00000000000006, 0]",0.0,0.0,60.0,60.0,0.8377613253429039,-1.7492203389964516,0.0,0.0,0.0,0.0,|,61.74922033899646,[0],61.74922033899645,61.7492203389964,36.45920065124633,"[0, 61.74922033899645, 0]",0.0,60.00000000000006,60.00000000000006,0.8611650327115412,-1.7492203389964018,0,0.0,0.0,0.0,|,61.74922033899646,[0],61.74922033899645,61.7492203389964,36.45920065124633,"[0, 61.74922033899645, 0]",0.0,60.00000000000006,60.00000000000006,0.8611650327115412,-1.7492203389964018,0,0.0,0.0,0.0
16,|,27.566568425319655,[0],27.56656842531966,27.56656842531966,29.315788764316054,29.315788764316054,60.00000000000006,60.00000000000006,"[0, 29.31578876431606, 0]","[0, 29.31578876431606, 0]",0.0,0.0,29.315788764316107,27.566568425319655,0.8429141631966364,30.68421123568395,0.0,0,0.0,0.0,|,27.56656842531966,[0],27.56656842531966,27.566568425319616,61.74922033899645,"[0, 27.56656842531966, 0]",0.0,29.31578876431606,27.56656842531966,0.8652894330716536,32.43343157468039,0.0,0,0.0,0.0,|,27.56656842531966,[0],27.56656842531966,27.566568425319616,61.74922033899645,"[0, 27.56656842531966, 0]",0.0,29.31578876431606,27.56656842531966,0.8652894330716536,32.43343157468039,0.0,0,0.0,0.0
17,|,36.503811727047335,[0],36.503811727047335,36.503811727047335,36.50381172704733,36.50381172704733,29.31578876431606,29.31578876431606,"[0, 36.503811727047335, 0]","[0, 36.503811727047335, 0]",0.0,0.0,36.503811727047335,36.503811727047335,0.8492542145332359,23.49618827295268,0.0,0,0.0,0.0,|,36.503811727047335,[0],36.50381172704733,36.50381172704728,27.56656842531966,"[0, 36.50381172704733, 0]",0.0,36.503811727047335,36.503811727047335,0.8703881643535807,23.496188272952715,0.0,0,0.0,0.0,|,36.503811727047335,[0],36.50381172704733,36.50381172704728,27.56656842531966,"[0, 36.50381172704733, 0]",0.0,36.503811727047335,36.503811727047335,0.8703881643535807,23.496188272952715,0.0,0,0.0,0.0
18,|,60.362129379727676,[0],60.36212937972767,60.36212937972767,60.36212937972766,60.36212937972766,36.503811727047335,36.503811727047335,"[0, 60.00000000000004, 0]","[0, 60.00000000000004, 0]",0.0,0.0,60.000000000000014,60.000000000000014,0.8583101192125532,-0.3621293797276621,0.0,0.0,0.0,0.0,|,60.36212937972767,[0],60.362129379727676,60.36212937972763,36.50381172704733,"[0, 60.362129379727676, 0]",0.0,60.00000000000004,60.00000000000004,0.877669058594783,-0.3621293797276266,0,0.0,0.0,0.0,|,60.36212937972767,[0],60.362129379727676,60.36212937972763,36.50381172704733,"[0, 60.362129379727676, 0]",0.0,60.00000000000004,60.00000000000004,0.877669058594783,-0.3621293797276266,0,0.0,0.0,0.0
19,|,66.64064414125252,[0],66.64064414125252,66.64064414125252,67.00277352098014,67.00277352098014,60.00000000000004,60.00000000000004,"[0, 60.362129379727676, 0]","[0, 60.362129379727676, 0]",0.0,0.0,60.00000000000004,59.63787062027238,0.860675270355813,-7.002773520980142,0.0,0.0,0.0,0.0,|,66.64064414125252,[0],66.64064414125252,66.64064414125248,60.362129379727676,"[0, 66.64064414125252, 0]",0.0,60.362129379727676,60.00000000000005,0.8790539784578483,-6.640644141252473,0,0.0,0.0,0.0,|,66.64064414125252,[0],66.64064414125252,66.64064414125248,60.362129379727676,"[0, 66.64064414125252, 0]",0.0,60.362129379727676,60.00000000000005,0.8790539784578483,-6.640644141252473,0,0.0,0.0,0.0
