t,|i=0,IO:EXT,IOPL:EXT,OQ:1,OQ:2,OO:1,OO:2,IS:1,IS:2,ISPL:1,ISPL:2,RM:1,RM:2,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC
118,|,37.54806390371432,[0],37.54806390371433,37.54806390371433,37.548063903714265,37.548063903714265,54.23526563554353,54.23526563554353,"[0, 37.54806390371433, 0]","[0, 37.54806390371433, 0]",0.0,0.0,37.54806390371432,37.54806390371432,0.9518512592255859,22.451936096285735,0.0,0,0.0,0.0,|,37.54806390371433,[0],37.54806390371433,37.54806390371433,50.84567592581568,"[0, 37.54806390371433, 0]",0.0,37.54806390371433,37.54806390371433,0.9614981452258392,22.451936096285664,0.0,0,0.0,0.0,|,37.54806390371433,[0],37.54806390371433,37.54806390371433,50.84567592581568,"[0, 37.54806390371433, 0]",0.0,37.54806390371433,37.54806390371433,0.9614981452258392,22.451936096285664,0.0,0,0.0,0.0
119,|,58.79629068404167,[0],58.79629068404167,58.79629068404167,58.7962906840416,58.7962906840416,37.54806390371433,37.54806390371433,"[0, 58.79629068404167, 0]","[0, 58.79629068404167, 0]",0.0,0.0,58.79629068404167,58.79629068404167,0.952314448618417,1.2037093159583918,0.0,0,0.0,0.0,|,58.79629068404167,[0],58.79629068404168,58.796290684041686,37.54806390371433,"[0, 58.79629068404168, 0]",0.0,58.79629068404167,58.79629068404167,0.9618649311684468,1.2037093159583208,0.0,0,0.0,0.0,|,58.79629068404167,[0],58.79629068404168,58.796290684041686,37.54806390371433,"[0, 58.79629068404168, 0]",0.0,58.79629068404167,58.79629068404167,0.9618649311684468,1.2037093159583208,0.0,0,0.0,0.0
120,|,53.87340907747435,[0],53.873409077474356,53.873409077474356,53.873409077474285,53.873409077474285,58.79629068404167,58.79629068404167,"[0, 53.873409077474356, 0]","[0, 53.873409077474356, 0]",0.0,0.0,53.87340907747435,53.87340907747435,0.9527311008286969,6.126590922525715,0.0,0,0.0,0.0,|,53.873409077474356,[0],53.87340907747435,53.87340907747435,58.79629068404168,"[0, 53.87340907747435, 0]",0.0,53.873409077474356,53.873409077474356,0.9621949248818376,6.126590922525644,0.0,0,0.0,0.0,|,53.873409077474356,[0],53.87340907747435,53.87340907747435,58.79629068404168,"[0, 53.87340907747435, 0]",0.0,53.873409077474356,53.873409077474356,0.9621949248818376,6.126590922525644,0.0,0,0.0,0.0
121,|,46.22420642095281,[0],46.22420642095281,46.22420642095281,46.22420642095275,46.22420642095275,53.873409077474356,53.873409077474356,"[0, 46.22420642095281, 0]","[0, 46.22420642095281, 0]",0.0,0.0,46.22420642095281,46.22420642095281,0.9530828342654046,13.77579357904726,0.0,0,0.0,0.0,|,46.22420642095281,[0],46.22420642095282,46.22420642095281,53.87340907747435,"[0, 46.22420642095282, 0]",0.0,46.22420642095281,46.22420642095281,0.962473545767531,13.775793579047182,0.0,0,0.0,0.0,|,46.22420642095281,[0],46.22420642095282,46.22420642095281,53.87340907747435,"[0, 46.22420642095282, 0]",0.0,46.22420642095281,46.22420642095281,0.962473545767531,13.775793579047182,0.0,0,0.0,0.0
122,|,46.77977157207094,[0],46.779771572070935,46.779771572070935,46.77977157207087,46.77977157207087,46.22420642095281,46.22420642095281,"[0, 46.779771572070935, 0]","[0, 46.779771572070935, 0]",0.0,0.0,46.77977157207094,46.77977157207094,0.9534335056630149,13.220228427929129,0.0,0,0.0,0.0,|,46.779771572070935,[0],46.77977157207094,46.779771572070935,46.22420642095282,"[0, 46.77977157207094, 0]",0.0,46.779771572070935,46.779771572070935,0.9627513651595164,13.220228427929065,0.0,0,0.0,0.0,|,46.779771572070935,[0],46.77977157207094,46.779771572070935,46.22420642095282,"[0, 46.77977157207094, 0]",0.0,46.779771572070935,46.779771572070935,0.9627513651595164,13.220228427929065,0.0,0,0.0,0.0
123,|,57.541309126904785,[0],57.541309126904785,57.541309126904785,57.54130912690473,57.54130912690473,46.779771572070935,46.779771572070935,"[0, 57.541309126904785, 0]","[0, 57.541309126904785, 0]",0.0,0.0,57.541309126904785,57.541309126904785,0.9538577237994039,2.4586908730952786,0.0,0,0.0,0.0,|,57.541309126904785,[0],57.541309126904785,57.54130912690478,46.77977157207094,"[0, 57.541309126904785, 0]",0.0,57.541309126904785,57.541309126904785,0.963087505060174,2.4586908730952217,0.0,0,0.0,0.0,|,57.541309126904785,[0],57.541309126904785,57.54130912690478,46.77977157207094,"[0, 57.541309126904785, 0]",0.0,57.541309126904785,57.541309126904785,0.963087505060174,2.4586908730952217,0.0,0,0.0,0.0
124,|,62.146462388512376,[0],62.14646238851237,62.14646238851237,62.14646238851231,62.14646238851231,57.541309126904785,57.541309126904785,"[0, 60.00000000000001, 0]","[0, 60.00000000000001, 0]",0.0,0.0,60.000000000000064,60.000000000000064,0.9539707787114357,-2.1464623885123117,0.0,0.0,0.0,0.0,|,62.14646238851237,[0],62.14646238851237,62.14646238851237,57.541309126904785,"[0, 62.14646238851237, 0]",0.0,60.00000000000001,60.00000000000001,0.9631104171333043,-2.1464623885123615,0,0.0,0.0,0.0,|,62.14646238851237,[0],62.14646238851237,62.14646238851237,57.541309126904785,"[0, 62.14646238851237, 0]",0.0,60.00000000000001,60.00000000000001,0.9631104171333043,-2.1464623885123615,0,0.0,0.0,0.0
125,|,60.379203215177014,[0],60.379203215177014,60.379203215177014,62.525665603689326,62.525665603689326,60.00000000000001,60.00000000000001,"[0, 62.14646238851237, 0]","[0, 62.14646238851237, 0]",0.0,0.0,60.00000000000001,57.853537611487695,0.9540101556677419,-2.525665603689319,0.0,0.0,0.0,0.0,|,60.379203215177014,[0],60.37920321517701,60.37920321517701,62.14646238851237,"[0, 60.37920321517701, 0]",0.0,62.14646238851237,60.00000000000001,0.963394800053665,-0.3792032151770073,0,0.0,0.0,0.0,|,60.379203215177014,[0],60.37920321517701,60.37920321517701,62.14646238851237,"[0, 60.37920321517701, 0]",0.0,62.14646238851237,60.00000000000001,0.963394800053665,-0.3792032151770073,0,0.0,0.0,0.0
126,|,36.411350326519674,[0],36.41135032651967,36.41135032651967,36.79055354169662,36.79055354169662,62.14646238851237,62.14646238851237,"[0, 36.790553541696674, 0]","[0, 36.790553541696674, 0]",0.0,0.0,38.93701593020899,36.411350326519674,0.9542687635663729,23.209446458303375,0.0,0,0.0,0.0,|,36.41135032651967,[0],36.41135032651967,36.411350326519674,60.37920321517701,"[0, 36.41135032651967, 0]",0.0,36.790553541696674,36.41135032651967,0.9635987468875629,23.588649673480333,0.0,0,0.0,0.0,|,36.41135032651967,[0],36.41135032651967,36.411350326519674,60.37920321517701,"[0, 36.41135032651967, 0]",0.0,36.790553541696674,36.41135032651967,0.9635987468875629,23.588649673480333,0.0,0,0.0,0.0
127,|,34.15005446969281,[0],34.15005446969282,34.15005446969282,34.150054469692755,34.150054469692755,36.790553541696674,36.790553541696674,"[0, 34.15005446969282, 0]","[0, 34.15005446969282, 0]",0.0,0.0,34.15005446969281,34.15005446969281,0.9545086816502844,25.849945530307238,0.0,0,0.0,0.0,|,34.15005446969282,[0],34.15005446969281,34.15005446969282,36.41135032651967,"[0, 34.15005446969281, 0]",0.0,34.15005446969282,34.15005446969282,0.9637879732462862,25.84994553030718,0.0,0,0.0,0.0,|,34.15005446969282,[0],34.15005446969281,34.15005446969282,36.41135032651967,"[0, 34.15005446969281, 0]",0.0,34.15005446969282,34.15005446969282,0.9637879732462862,25.84994553030718,0.0,0,0.0,0.0
128,|,45.93132886423765,[0],45.931328864237656,45.931328864237656,45.931328864237585,45.931328864237585,34.15005446969282,34.15005446969282,"[0, 45.931328864237656, 0]","[0, 45.931328864237656, 0]",0.0,0.0,45.93132886423765,45.93132886423765,0.954827425995301,14.068671135762408,0.0,0,0.0,0.0,|,45.931328864237656,[0],45.931328864237656,45.93132886423766,34.15005446969281,"[0, 45.931328864237656, 0]",0.0,45.931328864237656,45.931328864237656,0.9640393990507032,14.068671135762337,0.0,0,0.0,0.0,|,45.931328864237656,[0],45.931328864237656,45.93132886423766,34.15005446969281,"[0, 45.931328864237656, 0]",0.0,45.931328864237656,45.931328864237656,0.9640393990507032,14.068671135762337,0.0,0,0.0,0.0
129,|,42.115744408401966,[0],42.11574440840197,42.11574440840197,42.115744408401895,42.115744408401895,45.931328864237656,45.931328864237656,"[0, 42.11574440840197, 0]","[0, 42.11574440840197, 0]",0.0,0.0,42.115744408401966,42.115744408401966,0.9551157913022791,17.884255591598098,0.0,0,0.0,0.0,|,42.11574440840197,[0],42.11574440840197,42.11574440840198,45.931328864237656,"[0, 42.11574440840197, 0]",0.0,42.11574440840197,42.11574440840197,0.9642668895731965,17.88425559159802,0.0,0,0.0,0.0,|,42.11574440840197,[0],42.11574440840197,42.11574440840198,45.931328864237656,"[0, 42.11574440840197, 0]",0.0,42.11574440840197,42.11574440840197,0.9642668895731965,17.88425559159802,0.0,0,0.0,0.0
130,|,53.95035200139025,[0],53.95035200139026,53.95035200139026,53.95035200139018,53.95035200139018,42.11574440840197,42.11574440840197,"[0, 53.95035200139026, 0]","[0, 53.95035200139026, 0]",0.0,0.0,53.95035200139025,53.95035200139025,0.9554798526444254,6.049647998609821,0.0,0,0.0,0.0,|,53.95035200139026,[0],53.95035200139026,53.950352001390264,42.11574440840197,"[0, 53.95035200139026, 0]",0.0,53.95035200139026,53.95035200139026,0.9645541340976529,6.049647998609736,0.0,0,0.0,0.0,|,53.95035200139026,[0],53.95035200139026,53.950352001390264,42.11574440840197,"[0, 53.95035200139026, 0]",0.0,53.95035200139026,53.95035200139026,0.9645541340976529,6.049647998609736,0.0,0,0.0,0.0
131,|,48.3443626338666,[0],48.3443626338666,48.3443626338666,48.344362633866524,48.344362633866524,53.95035200139026,53.95035200139026,"[0, 48.3443626338666, 0]","[0, 48.3443626338666, 0]",0.0,0.0,48.3443626338666,48.3443626338666,0.9558011032669961,11.655637366133476,0.0,0,0.0,0.0,|,48.3443626338666,[0],48.3443626338666,48.34436263386661,53.95035200139026,"[0, 48.3443626338666, 0]",0.0,48.3443626338666,48.3443626338666,0.9648076358330064,11.65563736613339,0.0,0,0.0,0.0,|,48.3443626338666,[0],48.3443626338666,48.34436263386661,53.95035200139026,"[0, 48.3443626338666, 0]",0.0,48.3443626338666,48.3443626338666,0.9648076358330064,11.65563736613339,0.0,0,0.0,0.0
132,|,46.26980961081343,[0],46.26980961081343,46.26980961081343,46.26980961081336,46.26980961081336,48.3443626338666,48.3443626338666,"[0, 46.26980961081343, 0]","[0, 46.26980961081343, 0]",0.0,0.0,46.26980961081343,46.26980961081343,0.9561042561282155,13.730190389186646,0.0,0,0.0,0.0,|,46.26980961081343,[0],46.26980961081343,46.26980961081345,48.3443626338666,"[0, 46.26980961081343, 0]",0.0,46.26980961081343,46.26980961081343,0.9650468864617593,13.73019038918656,0.0,0,0.0,0.0,|,46.26980961081343,[0],46.26980961081343,46.26980961081345,48.3443626338666,"[0, 46.26980961081343, 0]",0.0,46.26980961081343,46.26980961081343,0.9650468864617593,13.73019038918656,0.0,0,0.0,0.0
133,|,41.60167981579909,[0],41.60167981579908,41.60167981579908,41.60167981579901,41.60167981579901,46.26980961081343,46.26980961081343,"[0, 41.60167981579908, 0]","[0, 41.60167981579908, 0]",0.0,0.0,41.60167981579909,41.60167981579909,0.9563732954786759,18.39832018420099,0.0,0,0.0,0.0,|,41.60167981579908,[0],41.60167981579907,41.601679815799095,46.26980961081343,"[0, 41.60167981579907, 0]",0.0,41.60167981579908,41.60167981579908,0.9652592388398438,18.398320184200912,0.0,0,0.0,0.0,|,41.60167981579908,[0],41.60167981579907,41.601679815799095,46.26980961081343,"[0, 41.60167981579907, 0]",0.0,41.60167981579908,41.60167981579908,0.9652592388398438,18.398320184200912,0.0,0,0.0,0.0
134,|,51.234257656159926,[0],51.234257656159926,51.234257656159926,51.23425765615986,51.23425765615986,41.60167981579908,41.60167981579908,"[0, 51.234257656159926, 0]","[0, 51.234257656159926, 0]",0.0,0.0,51.234257656159926,51.234257656159926,0.9567001312280239,8.765742343840145,0.0,0,0.0,0.0,|,51.234257656159926,[0],51.23425765615992,51.23425765615994,41.60167981579907,"[0, 51.23425765615992, 0]",0.0,51.234257656159926,51.234257656159926,0.9655172407091617,8.76574234384006,0.0,0,0.0,0.0,|,51.234257656159926,[0],51.23425765615992,51.23425765615994,41.60167981579907,"[0, 51.23425765615992, 0]",0.0,51.234257656159926,51.234257656159926,0.9655172407091617,8.76574234384006,0.0,0,0.0,0.0
135,|,37.43541422923262,[0],37.43541422923261,37.43541422923261,37.43541422923255,37.43541422923255,51.234257656159926,51.234257656159926,"[0, 37.43541422923261, 0]","[0, 37.43541422923261, 0]",0.0,0.0,37.43541422923262,37.43541422923262,0.9569358613631698,22.56458577076745,0.0,0,0.0,0.0,|,37.43541422923261,[0],37.43541422923261,37.43541422923263,51.23425765615992,"[0, 37.43541422923261, 0]",0.0,37.43541422923261,37.43541422923261,0.9657033454673506,22.564585770767366,0.0,0,0.0,0.0,|,37.43541422923261,[0],37.43541422923261,37.43541422923263,51.23425765615992,"[0, 37.43541422923261, 0]",0.0,37.43541422923261,37.43541422923261,0.9657033454673506,22.564585770767366,0.0,0,0.0,0.0
136,|,55.847712906163146,[0],55.847712906163146,55.847712906163146,55.847712906163075,55.847712906163075,37.43541422923261,37.43541422923261,"[0, 55.847712906163146, 0]","[0, 55.847712906163146, 0]",0.0,0.0,55.847712906163146,55.847712906163146,0.9572828010973379,4.152287093836918,0.0,0,0.0,0.0,|,55.847712906163146,[0],55.84771290616315,55.84771290616316,37.43541422923261,"[0, 55.84771290616315, 0]",0.0,55.847712906163146,55.847712906163146,0.9659772802898874,4.152287093836833,0.0,0,0.0,0.0,|,55.847712906163146,[0],55.84771290616315,55.84771290616316,37.43541422923261,"[0, 55.84771290616315, 0]",0.0,55.847712906163146,55.847712906163146,0.9659772802898874,4.152287093836833,0.0,0,0.0,0.0
137,|,47.265475224537134,[0],47.26547522453714,47.26547522453714,47.26547522453708,47.26547522453708,55.847712906163146,55.847712906163146,"[0, 47.26547522453714, 0]","[0, 47.26547522453714, 0]",0.0,0.0,47.265475224537134,47.265475224537134,0.9575720878680893,12.73452477546293,0.0,0,0.0,0.0,|,47.26547522453714,[0],47.26547522453715,47.265475224537155,55.84771290616315,"[0, 47.26547522453715, 0]",0.0,47.26547522453714,47.26547522453714,0.9662057229877064,12.734524775462845,0.0,0,0.0,0.0,|,47.26547522453714,[0],47.26547522453715,47.265475224537155,55.84771290616315,"[0, 47.26547522453715, 0]",0.0,47.26547522453714,47.26547522453714,0.9662057229877064,12.734524775462845,0.0,0,0.0,0.0
138,|,54.971642183826084,[0],54.97164218382608,54.97164218382608,54.97164218382602,54.97164218382602,47.26547522453714,47.26547522453714,"[0, 54.97164218382608, 0]","[0, 54.97164218382608, 0]",0.0,0.0,54.971642183826084,54.971642183826084,0.9579036500052561,5.028357816173987,0.0,0,0.0,0.0,|,54.97164218382608,[0],54.97164218382608,54.971642183826084,47.26547522453715,"[0, 54.97164218382608, 0]",0.0,54.97164218382608,54.97164218382608,0.9664675821681267,5.028357816173916,0.0,0,0.0,0.0,|,54.97164218382608,[0],54.97164218382608,54.971642183826084,47.26547522453715,"[0, 54.97164218382608, 0]",0.0,54.97164218382608,54.97164218382608,0.9664675821681267,5.028357816173916,0.0,0,0.0,0.0
139,|,56.24490173209353,[0],56.244901732093524,56.244901732093524,56.24490173209347,56.24490173209347,54.97164218382608,54.97164218382608,"[0, 56.244901732093524, 0]","[0, 56.244901732093524, 0]",0.0,0.0,56.24490173209353,56.24490173209353,0.9582375708060795,3.755098267906533,0.0,0,0.0,0.0,|,56.244901732093524,[0],56.244901732093524,56.244901732093524,54.97164218382608,"[0, 56.244901732093524, 0]",0.0,56.244901732093524,56.244901732093524,0.966731339421811,3.755098267906469,0.0,0,0.0,0.0,|,56.244901732093524,[0],56.244901732093524,56.244901732093524,54.97164218382608,"[0, 56.244901732093524, 0]",0.0,56.244901732093524,56.244901732093524,0.966731339421811,3.755098267906469,0.0,0,0.0,0.0
140,|,44.72341511160092,[0],44.72341511160092,44.72341511160092,44.72341511160087,44.72341511160087,56.244901732093524,56.244901732093524,"[0, 44.72341511160092, 0]","[0, 44.72341511160092, 0]",0.0,0.0,44.72341511160092,44.72341511160092,0.9584993323910749,15.276584888399135,0.0,0,0.0,0.0,|,44.72341511160092,[0],44.72341511160093,44.72341511160093,56.244901732093524,"[0, 44.72341511160093, 0]",0.0,44.72341511160092,44.72341511160092,0.9669381243247521,15.276584888399071,0.0,0,0.0,0.0,|,44.72341511160092,[0],44.72341511160093,44.72341511160093,56.244901732093524,"[0, 44.72341511160093, 0]",0.0,44.72341511160092,44.72341511160092,0.9669381243247521,15.276584888399071,0.0,0,0.0,0.0
141,|,41.866005514935594,[0],41.86600551493559,41.86600551493559,41.86600551493553,41.86600551493553,44.72341511160092,44.72341511160092,"[0, 41.86600551493559, 0]","[0, 41.86600551493559, 0]",0.0,0.0,41.866005514935594,41.866005514935594,0.9587414135950845,18.133994485064463,0.0,0,0.0,0.0,|,41.86600551493559,[0],41.86600551493559,41.86600551493558,44.72341511160093,"[0, 41.86600551493559, 0]",0.0,41.86600551493559,41.86600551493559,0.9671293815954654,18.133994485064413,0.0,0,0.0,0.0,|,41.86600551493559,[0],41.86600551493559,41.86600551493558,44.72341511160093,"[0, 41.86600551493559, 0]",0.0,41.86600551493559,41.86600551493559,0.9671293815954654,18.133994485064413,0.0,0,0.0,0.0
142,|,42.43961216053223,[0],42.439612160532235,42.439612160532235,42.439612160532185,42.439612160532185,41.86600551493559,41.86600551493559,"[0, 42.439612160532235, 0]","[0, 42.439612160532235, 0]",0.0,0.0,42.43961216053223,42.43961216053223,0.9589839459837012,17.560387839467822,0.0,0,0.0,0.0,|,42.439612160532235,[0],42.43961216053224,42.43961216053224,41.86600551493559,"[0, 42.43961216053224, 0]",0.0,42.439612160532235,42.439612160532235,0.9673210139863667,17.560387839467765,0.0,0,0.0,0.0,|,42.439612160532235,[0],42.43961216053224,42.43961216053224,41.86600551493559,"[0, 42.43961216053224, 0]",0.0,42.439612160532235,42.439612160532235,0.9673210139863667,17.560387839467765,0.0,0,0.0,0.0
143,|,60.62291335875335,[0],60.622913358753344,60.622913358753344,60.622913358753294,60.622913358753294,42.439612160532235,42.439612160532235,"[0, 60.00000000000001, 0]","[0, 60.00000000000001, 0]",0.0,0.0,60.00000000000006,60.00000000000006,0.9592399253868442,-0.6229133587532942,0.0,0.0,0.0,0.0,|,60.622913358753344,[0],60.62291335875334,60.62291335875333,42.43961216053224,"[0, 60.62291335875334, 0]",0.0,60.00000000000001,60.00000000000001,0.9675060455809424,-0.6229133587533369,0,0.0,0.0,0.0,|,60.622913358753344,[0],60.62291335875334,60.62291335875333,42.43961216053224,"[0, 60.62291335875334, 0]",0.0,60.00000000000001,60.00000000000001,0.9675060455809424,-0.6229133587533369,0,0.0,0.0,0.0
144,|,61.109464567597,[0],61.109464567597,61.109464567597,61.73237792635029,61.73237792635029,60.00000000000001,60.00000000000001,"[0, 60.62291335875334, 0]","[0, 60.62291335875334, 0]",0.0,0.0,60.00000000000001,59.37708664124671,0.9593432368077738,-1.7323779263502885,0.0,0.0,0.0,0.0,|,61.109464567597,[0],61.10946456759701,61.109464567597,60.62291335875334,"[0, 61.10946456759701, 0]",0.0,60.62291335875334,60.0,0.9676244320950279,-1.1094645675970014,0,0.0,0.0,0.0,|,61.109464567597,[0],61.10946456759701,61.109464567597,60.62291335875334,"[0, 61.10946456759701, 0]",0.0,60.62291335875334,60.0,0.9676244320950279,-1.1094645675970014,0,0.0,0.0,0.0
145,|,50.93368918743691,[0],50.93368918743691,50.93368918743691,52.043153755033856,52.043153755033856,60.62291335875334,60.62291335875334,"[0, 52.04315375503391, 0]","[0, 52.04315375503391, 0]",0.0,0.0,52.6660671137872,50.93368918743691,0.9596233654658376,7.956846244966137,0.0,0,0.0,0.0,|,50.93368918743691,[0],50.93368918743691,50.933689187436904,61.10946456759701,"[0, 50.93368918743691, 0]",0.0,52.04315375503391,50.93368918743691,0.9678457066093771,9.066310812563096,0.0,0,0.0,0.0,|,50.93368918743691,[0],50.93368918743691,50.933689187436904,61.10946456759701,"[0, 50.93368918743691, 0]",0.0,52.04315375503391,50.93368918743691,0.9678457066093771,9.066310812563096,0.0,0,0.0,0.0
146,|,47.45495780670615,[0],47.454957806706155,47.454957806706155,47.454957806706105,47.454957806706105,52.04315375503391,52.04315375503391,"[0, 47.454957806706155, 0]","[0, 47.454957806706155, 0]",0.0,0.0,47.45495780670615,47.45495780670615,0.9598809099615269,12.545042193293902,0.0,0,0.0,0.0,|,47.454957806706155,[0],47.454957806706155,47.45495780670615,50.93368918743691,"[0, 47.454957806706155, 0]",0.0,47.454957806706155,47.454957806706155,0.9680491636343934,12.545042193293853,0.0,0,0.0,0.0,|,47.454957806706155,[0],47.454957806706155,47.45495780670615,50.93368918743691,"[0, 47.454957806706155, 0]",0.0,47.454957806706155,47.454957806706155,0.9680491636343934,12.545042193293853,0.0,0,0.0,0.0
147,|,54.28503891691843,[0],54.285038916918424,54.285038916918424,54.285038916918374,54.285038916918374,47.454957806706155,47.454957806706155,"[0, 54.285038916918424, 0]","[0, 54.285038916918424, 0]",0.0,0.0,54.28503891691843,54.28503891691843,0.9601715225496255,5.714961083081626,0.0,0,0.0,0.0,|,54.285038916918424,[0],54.285038916918424,54.28503891691842,47.454957806706155,"[0, 54.285038916918424, 0]",0.0,54.285038916918424,54.285038916918424,0.9682787691477098,5.714961083081583,0.0,0,0.0,0.0,|,54.285038916918424,[0],54.285038916918424,54.28503891691842,47.454957806706155,"[0, 54.285038916918424, 0]",0.0,54.285038916918424,54.285038916918424,0.9682787691477098,5.714961083081583,0.0,0,0.0,0.0
148,|,64.87789837382387,[0],64.87789837382387,64.87789837382387,64.87789837382381,64.87789837382381,54.285038916918424,54.285038916918424,"[0, 60.00000000000001, 0]","[0, 60.00000000000001, 0]",0.0,0.0,60.00000000000005,60.00000000000005,0.9598680523557755,-4.877898373823818,0.0,0.0,0.0,0.0,|,64.87789837382387,[0],64.87789837382387,64.87789837382387,54.285038916918424,"[0, 64.87789837382387, 0]",0.0,60.00000000000001,60.00000000000001,0.9679086527453419,-4.877898373823861,0,0.0,0.0,0.0,|,64.87789837382387,[0],64.87789837382387,64.87789837382387,54.285038916918424,"[0, 64.87789837382387, 0]",0.0,60.00000000000001,60.00000000000001,0.9679086527453419,-4.877898373823861,0,0.0,0.0,0.0
149,|,71.457391121923,[0],71.457391121923,71.457391121923,76.33528949574679,76.33528949574679,60.00000000000001,60.00000000000001,"[0, 64.87789837382387, 0]","[0, 64.87789837382387, 0]",0.0,0.0,60.00000000000001,55.12210162617619,0.9581030617248064,-16.335289495746807,0.0,0.0,0.0,0.0,|,71.457391121923,[0],71.457391121923,71.45739112192298,64.87789837382387,"[0, 71.457391121923, 0]",0.0,64.87789837382387,60.00000000000001,0.9667170059914574,-11.457391121922988,0,0.0,0.0,0.0,|,71.457391121923,[0],71.457391121923,71.45739112192298,64.87789837382387,"[0, 71.457391121923, 0]",0.0,64.87789837382387,60.00000000000001,0.9667170059914574,-11.457391121922988,0,0.0,0.0,0.0
150,|,37.99401043482785,[0],37.994010434827864,37.994010434827864,49.45140155675078,49.45140155675078,64.87789837382387,64.87789837382387,"[0, 49.45140155675085, 0]","[0, 49.45140155675085, 0]",0.0,0.0,54.329299930574656,37.99401043482785,0.958310645604438,10.548598443249212,0.0,0,0.0,0.0,|,37.994010434827864,[0],37.99401043482787,37.99401043482786,71.457391121923,"[0, 37.99401043482787, 0]",0.0,49.45140155675085,37.994010434827864,0.9668806306990783,22.005989565172143,0.0,0,0.0,0.0,|,37.994010434827864,[0],37.99401043482787,37.99401043482786,71.457391121923,"[0, 37.99401043482787, 0]",0.0,49.45140155675085,37.994010434827864,0.9668806306990783,22.005989565172143,0.0,0,0.0,0.0
151,|,55.71055995680444,[0],55.710559956804445,55.710559956804445,55.710559956804374,55.710559956804374,49.45140155675085,49.45140155675085,"[0, 55.710559956804445, 0]","[0, 55.710559956804445, 0]",0.0,0.0,55.71055995680444,55.71055995680444,0.9586113329583481,4.289440043195626,0.0,0,0.0,0.0,|,55.710559956804445,[0],55.710559956804445,55.71055995680443,37.99401043482787,"[0, 55.710559956804445, 0]",0.0,55.710559956804445,55.710559956804445,0.967117665181804,4.289440043195569,0.0,0,0.0,0.0,|,55.710559956804445,[0],55.710559956804445,55.71055995680443,37.99401043482787,"[0, 55.710559956804445, 0]",0.0,55.710559956804445,55.710559956804445,0.967117665181804,4.289440043195569,0.0,0,0.0,0.0
152,|,55.74615598394543,[0],55.74615598394543,55.74615598394543,55.74615598394536,55.74615598394536,55.710559956804445,55.710559956804445,"[0, 55.74615598394543, 0]","[0, 55.74615598394543, 0]",0.0,0.0,55.74615598394543,55.74615598394543,0.958907901930168,4.253844016054643,0.0,0,0.0,0.0,|,55.74615598394543,[0],55.74615598394543,55.746155983945414,55.710559956804445,"[0, 55.74615598394543, 0]",0.0,55.74615598394543,55.74615598394543,0.9673514791134488,4.253844016054586,0.0,0,0.0,0.0,|,55.74615598394543,[0],55.74615598394543,55.746155983945414,55.710559956804445,"[0, 55.74615598394543, 0]",0.0,55.74615598394543,55.74615598394543,0.9673514791134488,4.253844016054586,0.0,0,0.0,0.0
153,|,36.042389032905405,[0],36.042389032905405,36.042389032905405,36.042389032905334,36.042389032905334,55.74615598394543,55.74615598394543,"[0, 36.042389032905405, 0]","[0, 36.042389032905405, 0]",0.0,0.0,36.042389032905405,36.042389032905405,0.9590973952400685,23.957610967094666,0.0,0,0.0,0.0,|,36.042389032905405,[0],36.042389032905405,36.04238903290539,55.74615598394543,"[0, 36.042389032905405, 0]",0.0,36.042389032905405,36.042389032905405,0.9675008884956199,23.95761096709461,0.0,0,0.0,0.0,|,36.042389032905405,[0],36.042389032905405,36.04238903290539,55.74615598394543,"[0, 36.042389032905405, 0]",0.0,36.042389032905405,36.042389032905405,0.9675008884956199,23.95761096709461,0.0,0,0.0,0.0
154,|,39.33745122330063,[0],39.33745122330063,39.33745122330063,39.33745122330056,39.33745122330056,36.042389032905405,36.042389032905405,"[0, 39.33745122330063, 0]","[0, 39.33745122330063, 0]",0.0,0.0,39.33745122330063,39.33745122330063,0.9593022277329075,20.66254877669944,0.0,0,0.0,0.0,|,39.33745122330063,[0],39.33745122330063,39.33745122330062,36.042389032905405,"[0, 39.33745122330063, 0]",0.0,39.33745122330063,39.33745122330063,0.9676624041922836,20.66254877669938,0.0,0,0.0,0.0,|,39.33745122330063,[0],39.33745122330063,39.33745122330062,36.042389032905405,"[0, 39.33745122330063, 0]",0.0,39.33745122330063,39.33745122330063,0.9676624041922836,20.66254877669938,0.0,0,0.0,0.0
