periods,3_inv,2_inv,1_inv,0_inv,3_make_order,2_make_order,1_make_order,0_make_order,3_ship_inv,2_ship_inv,1_ship_inv,0_ship_inv,3_backorder,2_backorder,1_backorder,0_backorder,3_inv_in_transit,2_inv_in_transit,1_inv_in_transit,0_inv_in_transit,demand
33,0,0,0,0,24,20,20,20,20,20,20,20,0,0,0,12,"{'Supplier 3': [27, 13, 24]}","{'Supplier 2': [20, 20]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",18
34,7,0,0,0,18,22,20,20,20,20,20,20,0,0,0,6,"{'Supplier 3': [13, 24, 18]}","{'Supplier 2': [20, 22]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",14
35,4,4,4,0,14,14,16,16,16,16,16,20,0,0,0,3,"{'Supplier 3': [24, 18, 14]}","{'Supplier 2': [22, 14]}",{'Supplier 1': [16]},"{1: [16], 2: [16], 3: [16]}",17
36,11,9,3,0,17,17,17,17,17,17,17,16,0,0,0,3,"{'Supplier 3': [18, 14, 17]}","{'Supplier 2': [14, 17]}",{'Supplier 1': [17]},"{1: [17], 2: [17], 3: [17]}",16
37,13,7,4,1,16,16,16,16,16,16,16,16,0,0,0,0,"{'Supplier 3': [14, 17, 16]}","{'Supplier 2': [17, 16]}",{'Supplier 1': [16]},"{1: [16], 2: [16], 3: [16]}",13
38,14,11,7,1,13,13,13,13,13,13,13,16,0,0,0,0,"{'Supplier 3': [17, 16, 13]}","{'Supplier 2': [16, 13]}",{'Supplier 1': [13]},"{1: [13], 2: [13], 3: [13]}",16
39,15,11,4,1,16,16,16,16,16,16,16,13,0,0,0,0,"{'Supplier 3': [16, 13, 16]}","{'Supplier 2': [13, 16]}",{'Supplier 1': [16]},"{1: [16], 2: [16], 3: [16]}",13
40,18,11,7,0,13,13,13,13,13,13,13,17,0,0,0,7,"{'Supplier 3': [13, 16, 13]}","{'Supplier 2': [16, 13]}",{'Supplier 1': [13]},"{1: [13], 2: [13], 3: [13]}",24
41,11,7,0,0,24,20,20,20,20,20,20,13,0,0,0,19,"{'Supplier 3': [16, 13, 24]}","{'Supplier 2': [13, 20]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",25
42,7,0,0,0,25,24,20,20,20,20,20,20,0,0,0,14,"{'Supplier 3': [13, 24, 25]}","{'Supplier 2': [20, 24]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",15
43,0,0,0,0,15,20,24,20,20,20,20,20,0,0,0,10,"{'Supplier 3': [24, 25, 15]}","{'Supplier 2': [24, 20]}",{'Supplier 1': [24]},"{1: [20], 2: [20], 3: [20]}",16
44,4,4,4,0,16,16,16,20,20,20,20,20,0,0,0,16,"{'Supplier 3': [25, 15, 16]}","{'Supplier 2': [20, 16]}",{'Supplier 1': [16]},"{1: [20], 2: [20], 3: [20]}",26
45,9,4,0,0,26,20,20,20,20,20,20,20,0,0,0,14,"{'Supplier 3': [15, 16, 26]}","{'Supplier 2': [16, 20]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",18
46,4,0,0,0,18,24,20,20,20,20,20,20,0,0,0,12,"{'Supplier 3': [16, 26, 18]}","{'Supplier 2': [20, 24]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",18
47,0,0,0,0,18,18,22,20,20,20,20,20,0,0,0,10,"{'Supplier 3': [26, 18, 18]}","{'Supplier 2': [24, 18]}",{'Supplier 1': [22]},"{1: [20], 2: [20], 3: [20]}",18
48,6,4,2,0,18,18,18,20,20,20,20,20,0,0,0,3,"{'Supplier 3': [18, 18, 18]}","{'Supplier 2': [18, 18]}",{'Supplier 1': [18]},"{1: [20], 2: [20], 3: [20]}",13
49,11,9,7,0,13,13,13,13,13,13,13,20,0,0,0,5,"{'Supplier 3': [18, 18, 13]}","{'Supplier 2': [18, 13]}",{'Supplier 1': [13]},"{1: [13], 2: [13], 3: [13]}",22
