t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
8,|,0.7001481896531816,5.789851810346819,5.7898518103468195,3.773784153558146,3.773784153558146,3.773784153558146,3.773784153558146,1.0,2.7162158464418553,0.0,19.013510925092987,0.0,0.0,19.013510925092987,|,3.699967973570244,6.676356074971819,6.676356074971819,3.773784153558146,4.7173119153629015,3.773784153558146,3.773784153558146,1.0,6.602539894983917,0.0,26.41015957993567,0.0,15.095136614232583,41.50529619416825,|,6.658403257703201,8.15710117909502,1.2000802004371849,4.7173119153629015,8.211691315341259,4.7173119153629015,4.7173119153629015,0.8231885387118243,3.1411715427774842,0.0,6.2823430855549685,0.0,9.434623830725803,15.716966916280771
9,|,2.7162158464418553,3.773784153558145,3.773784153558146,4.051993012286541,4.051993012286541,4.051993012286541,4.051993012286541,1.0,2.43800698771346,0.0,17.06604891399422,0.0,0.0,17.06604891399422,|,6.602539894983917,4.717311915362901,4.7173119153629015,4.051993012286541,2.0359253554978682,4.051993012286541,4.051993012286541,1.0,7.267858798060278,0.0,29.07143519224111,0.0,16.207972049146164,45.279407241387275,|,3.1411715427774842,15.168712293999093,6.957020978657836,2.0359253554978682,0.0,2.0359253554978682,2.0359253554978682,0.8302576596499653,8.06226716593745,0.0,16.1245343318749,0.0,4.0718507109957365,20.196385042870638
10,|,2.43800698771346,4.05199301228654,4.051993012286541,4.430346058069936,4.430346058069936,4.430346058069936,4.430346058069936,1.0,2.0596539419300655,0.0,14.417577593510458,0.0,0.0,14.417577593510458,|,7.267858798060278,2.0359253554978674,2.0359253554978682,4.430346058069936,4.70855491679833,4.430346058069936,4.430346058069936,1.0,4.87343809548821,0.0,19.49375238195284,0.0,17.721384232279743,37.215136614232584,|,8.06226716593745,8.211691315341257,8.211691315341259,4.70855491679833,1.4387306497458887,4.70855491679833,4.70855491679833,0.8446245623953768,11.56540356448038,0.0,23.13080712896076,0.0,9.41710983359666,32.54791696255742
11,|,2.0596539419300655,4.430346058069935,4.430346058069936,4.022849785302228,4.022849785302228,4.022849785302228,4.022849785302228,1.0,2.4671502146977735,0.0,17.270051502884414,0.0,0.0,17.270051502884414,|,4.87343809548821,4.708554916798329,4.70855491679833,4.022849785302228,4.401202831085623,4.022849785302228,4.022849785302228,1.0,5.559143226984313,0.0,22.23657290793725,0.0,16.09139914120891,38.32797204914616,|,11.56540356448038,1.438730649745887,0.0,4.401202831085623,7.173976579441078,4.401202831085623,4.401202831085623,0.8560158154762297,7.1642007333947575,0.0,14.328401466789515,0.0,8.802405662171246,23.13080712896076
12,|,2.4671502146977735,4.022849785302227,4.022849785302228,4.229368288816449,4.229368288816449,4.229368288816449,4.229368288816449,1.0,2.260631711183552,0.0,15.824421978284864,0.0,0.0,15.824421978284864,|,5.559143226984313,4.401202831085622,4.401202831085623,4.229368288816449,3.82187201604874,4.229368288816449,4.229368288816449,1.0,5.730977769253487,0.0,22.923911077013948,0.0,16.917473155265796,39.841384232279744,|,7.1642007333947575,8.612707229186965,1.4387306497458887,3.82187201604874,2.7286706117849313,3.82187201604874,3.82187201604874,0.8646337705169972,4.781059367091906,0.0,9.562118734183812,0.0,7.64374403209748,17.205862766281292
13,|,2.260631711183552,4.229368288816449,4.229368288816449,4.966288708546514,4.9662887085465135,4.966288708546514,4.966288708546514,1.0,1.5237112914534867,0.0,10.665979040174406,0.0,0.0,10.665979040174406,|,5.730977769253487,3.82187201604874,3.82187201604874,4.9662887085465135,5.172807212060735,4.9662887085465135,4.9662887085465135,1.0,4.5865610767557135,0.0,18.346244307022854,0.0,19.865154834186054,38.21139914120891,|,4.781059367091906,9.902647191226007,7.173976579441078,5.172807212060735,5.207491173305787,5.172807212060735,5.172807212060735,0.8747780249954792,6.782228734472249,0.0,13.564457468944498,0.0,10.34561442412147,23.910071893065968
14,|,1.5237112914534867,4.966288708546514,4.9662887085465135,3.9671407548338697,3.967140754833869,3.9671407548338697,3.9671407548338697,1.0,2.5228592451661305,0.0,17.660014716162912,0.0,0.0,17.660014716162912,|,4.5865610767557135,5.172807212060736,5.172807212060735,3.967140754833869,4.7040611745639325,3.967140754833869,3.967140754833869,1.0,5.7922275339825795,0.0,23.168910135930318,0.0,15.868563019335475,39.03747315526579,|,6.782228734472249,7.936161785090716,2.7286706117849313,4.7040611745639325,6.585398286791765,4.7040611745639325,4.7040611745639325,0.88276726328552,4.806838171693247,0.0,9.613676343386494,0.0,9.408122349127865,19.02179869251436
15,|,2.5228592451661305,3.9671407548338697,3.967140754833869,6.142427376683153,6.142427376683153,6.142427376683153,6.142427376683153,1.0,0.3475726233168466,0.0,2.433008363217926,0.0,0.0,2.433008363217926,|,5.7922275339825795,4.704061174563933,4.7040611745639325,6.142427376683153,5.143279422970509,6.142427376683153,6.142427376683153,1.0,4.353861331863359,0.0,17.415445327453437,0.0,24.56970950673261,41.98515483418605,|,4.806838171693247,11.79288946009755,5.207491173305787,5.143279422970509,2.9384650120310027,5.143279422970509,5.143279422970509,0.890411875800949,4.871049922028525,0.0,9.74209984405705,0.0,10.286558845941018,20.028658689998068
16,|,0.3475726233168466,6.142427376683154,6.142427376683153,4.390221992312528,4.390221992312528,4.390221992312528,4.390221992312528,1.0,2.0997780076874717,0.0,14.698446053812301,0.0,0.0,14.698446053812301,|,4.353861331863359,5.14327942297051,5.143279422970509,4.390221992312528,6.565508614161812,4.390221992312528,4.390221992312528,1.0,5.106918762521341,0.0,20.427675050085362,0.0,17.56088796925011,37.98856301933547,|,4.871049922028525,9.523863298822766,6.585398286791765,6.565508614161812,10.179161438130317,6.565508614161812,6.565508614161812,0.8988330649606755,4.890939594658478,0.0,9.781879189316957,0.0,13.131017228323625,22.91289641764058
17,|,2.0997780076874717,4.3902219923125285,4.390221992312528,6.46941638687667,6.46941638687667,6.46941638687667,6.46941638687667,1.0,0.020583613123329236,0.0,0.14408529186330465,0.0,0.0,0.14408529186330465,|,5.106918762521341,6.565508614161813,6.565508614161812,6.46941638687667,4.717211002506044,6.46941638687667,6.46941638687667,1.0,5.203010989806483,0.0,20.81204395922593,0.0,25.87766554750668,46.68970950673261,|,4.890939594658478,13.117626450161318,2.9384650120310027,4.717211002506044,2.211948187477436,4.717211002506044,4.717211002506044,0.9041263596732952,3.112193604183437,0.0,6.224387208366874,0.0,9.434422005012088,15.658809213378962
18,|,0.020583613123329236,6.469416386876672,6.46941638687667,6.4926788367383335,6.492678836738333,6.489999999999999,6.489999999999999,0.9999709639893647,-0.002678836738334134,0.002678836738334134,0.0,0.09943841972696305,0.0,0.09943841972696305,|,5.203010989806483,4.717211002506046,4.717211002506044,6.492678836738333,8.571873231302472,6.492678836738333,6.492678836738333,1.0,3.4275431555741944,0.0,13.710172622296778,0.0,25.97071534695333,39.68088796925011,|,3.112193604183437,12.39110962560775,10.179161438130317,8.571873231302472,10.554975398581472,8.571873231302472,8.571873231302472,0.9124503634097427,4.719481811011281,0.0,9.438963622022563,0.0,17.143746462604945,26.582710084627507
19,|,-0.002678836738334134,6.492678836738335,6.492678836738333,5.707125227889218,5.707125227889217,5.709804064627552,5.707125227889218,0.9999726555123113,0.7828747721107803,0.0,5.480123404775462,0.0,0.0,5.480123404775462,|,3.4275431555741944,8.571873231302474,8.571873231302472,5.707125227889217,5.730387677750882,5.707125227889217,5.707125227889217,1.0,6.29229115898745,0.0,25.1691646359498,0.0,22.82850091155687,47.99766554750667,|,4.719481811011281,12.766923586058907,2.211948187477436,5.730387677750882,7.5291179618448325,5.730387677750882,5.730387677750882,0.917253144710312,1.2010423207378347,0.0,2.4020846414756694,0.0,11.460775355501765,13.862859996977434
20,|,0.7828747721107803,5.707125227889221,5.707125227889217,3.1415097433483887,3.141509743348388,3.1415097433483887,3.1415097433483887,0.9999735051303849,3.348490256651609,0.0,23.439431796561262,0.0,0.0,23.439431796561262,|,6.29229115898745,5.730387677750883,5.730387677750882,3.141509743348388,2.3559561344992748,3.141509743348388,3.141509743348388,1.0,8.881169093389945,0.0,35.52467637355978,0.0,12.566038973393551,48.09071534695333,|,1.2010423207378347,18.084093360426305,10.554975398581472,2.3559561344992748,0.0,2.3559561344992748,2.3559561344992748,0.9190782458964417,9.400061584820032,0.0,18.800123169640063,0.0,4.7119122689985495,23.512035438638613
21,|,3.348490256651609,3.141509743348391,3.141509743348388,3.6293762288718954,3.6293762288718954,3.6293762288718954,3.6293762288718954,0.9999744232369864,2.8606237711281013,0.0,20.02436639789671,0.0,0.0,20.02436639789671,|,8.881169093389945,2.3559561344992757,2.3559561344992748,3.6293762288718954,1.0637607443310664,3.6293762288718954,3.6293762288718954,1.0,7.607748999017324,0.0,30.430995996069296,0.0,14.517504915487581,44.94850091155688,|,9.400061584820032,7.5291179618448325,7.5291179618448325,1.0637607443310664,0.0,1.0637607443310664,1.0637607443310664,0.9198761924225719,15.865418802333796,0.0,31.73083760466759,0.0,2.1275214886621328,33.858359093329724
22,|,2.8606237711281013,3.6293762288718985,3.6293762288718954,4.669893612079397,4.669893612079397,4.669893612079397,4.669893612079397,0.9999755149471791,1.8201063879205996,0.0,12.740744715444198,0.0,0.0,12.740744715444198,|,7.607748999017324,1.0637607443310673,1.0637607443310664,4.669893612079397,5.157760097602905,4.669893612079397,4.669893612079397,1.0,4.001616131268994,0.0,16.006464525075977,0.0,18.679574448317588,34.686038973393565,|,15.865418802333796,0.0,0.0,5.157760097602905,1.533968525123683,5.157760097602905,5.157760097602905,0.9235321773993571,10.70765870473089,0.0,21.41531740946178,0.0,10.31552019520581,31.73083760466759
23,|,1.8201063879205996,4.6698936120794,4.669893612079397,3.4847100541277953,3.484710054127796,3.4847100541277953,3.4847100541277953,0.9999762707448572,3.0052899458722013,0.0,21.03702962110541,0.0,0.0,21.03702962110541,|,4.001616131268994,5.157760097602906,5.157760097602905,3.484710054127796,4.525227437335297,3.484710054127796,3.484710054127796,1.0,5.674666174744103,0.0,22.698664698976412,0.0,13.938840216511185,36.6375049154876,|,10.70765870473089,1.533968525123683,0.0,4.525227437335297,9.17187768829113,4.525227437335297,4.525227437335297,0.9264756062934055,6.182431267395594,0.0,12.364862534791188,0.0,9.050454874670594,21.41531740946178
24,|,3.0052899458722013,3.484710054127799,3.484710054127796,6.200060185821551,6.200060185821551,6.200060185821551,6.200060185821551,0.9999775061180596,0.28993981417844683,0.0,2.029578699249128,0.0,0.0,2.029578699249128,|,5.674666174744103,4.525227437335298,4.525227437335297,6.200060185821551,5.014876627869949,6.200060185821551,6.200060185821551,1.0,3.999833426257849,0.0,15.999333705031397,0.0,24.800240743286203,40.7995744483176,|,6.182431267395594,10.705846213414812,1.533968525123683,5.014876627869949,2.1566430264432377,5.014876627869949,5.014876627869949,0.9294836523178922,2.701523164649328,0.0,5.403046329298656,0.0,10.029753255739898,15.432799585038554
25,|,0.28993981417844683,6.200060185821553,6.200060185821551,3.177380856579159,3.177380856579159,3.177380856579159,3.177380856579159,0.9999780906613868,3.3126191434208385,0.0,23.18833400394587,0.0,0.0,23.18833400394587,|,3.999833426257849,5.01487662786995,5.014876627869949,3.177380856579159,5.892730988272913,3.177380856579159,3.177380856579159,1.0,5.837329197548639,0.0,23.349316790194557,0.0,12.709523426316636,36.05884021651119,|,2.701523164649328,11.328520714734367,9.17187768829113,5.892730988272913,10.282913868452923,5.892730988272913,5.892730988272913,0.9327181533198481,5.980669864667544,0.0,11.961339729335087,0.0,11.785461976545825,23.746801705880912
26,|,3.3126191434208385,3.177380856579161,3.177380856579159,5.269384541363552,5.269384541363553,5.269384541363552,5.269384541363552,0.9999789958678701,1.2206154586364457,0.0,8.544308210455121,0.0,0.0,8.544308210455121,|,5.837329197548639,5.892730988272913,5.892730988272913,5.269384541363553,2.2467052121211637,5.269384541363553,5.269384541363553,1.0,6.460675644457999,0.0,25.842702577831997,0.0,21.07753816545421,46.92024074328621,|,5.980669864667544,12.43955689489616,2.1566430264432377,2.2467052121211637,0.0,2.2467052121211637,2.2467052121211637,0.9338745729282374,5.890607678989618,0.0,11.781215357979235,0.0,4.493410424242327,16.274625782221563
27,|,1.2206154586364457,5.269384541363554,5.269384541363553,4.5535756243528125,4.553575624352813,4.5535756243528125,4.5535756243528125,0.9999797199375096,1.936424375647186,0.0,13.554970629530303,0.0,0.0,13.554970629530303,|,6.460675644457999,2.2467052121211637,2.2467052121211637,4.553575624352813,6.645579309137204,4.553575624352813,4.553575624352813,1.0,4.15380523222635,0.0,16.6152209289054,0.0,18.214302497411254,34.829523426316655,|,5.890607678989618,10.282913868452923,10.282913868452923,6.645579309137204,5.50076665860022,6.645579309137204,6.645579309137204,0.9370737350634969,9.527942238305336,0.0,19.05588447661067,0.0,13.291158618274409,32.34704309488508
28,|,1.936424375647186,4.553575624352814,4.553575624352813,6.114313600092155,6.114313600092155,6.114313600092155,6.114313600092155,0.9999806171363289,0.3756863999078446,0.0,2.629804799354912,0.0,0.0,2.629804799354912,|,4.15380523222635,6.645579309137204,6.645579309137204,6.114313600092155,5.3985046830814145,6.114313600092155,6.114313600092155,1.0,4.6850709412714,0.0,18.7402837650856,0.0,24.45725440036862,43.19753816545422,|,9.527942238305336,5.50076665860022,0.0,5.3985046830814145,6.989566178302324,5.3985046830814145,5.3985046830814145,0.9394533069319683,4.129437555223921,0.0,8.258875110447843,0.0,10.797009366162829,19.05588447661067
