t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
8,|,1.8619619186604268,4.628038081339574,4.6280380813395725,4.569994231812477,4.569994231812476,4.569994231812477,4.569994231812477,0.914572819013692,1.9200057681875222,0.0,13.440040377312656,0.0,0.0,13.440040377312656,|,0.9088248359315685,4.621175164068432,4.621175164068433,4.569994231812476,4.569994231812476,4.569994231812476,4.569994231812476,0.8423724839296182,0.9600057681875249,0.0,3.8400230727500997,0.0,18.279976927249905,22.120000000000005,|,0.5319619186604294,10.158038081339573,5.887915052599162,4.569994231812476,4.569994231812474,4.569994231812476,4.569994231812476,0.8677513735073714,1.8498827394471151,0.0,3.6997654788942302,0.0,9.139988463624952,12.839753942519183
9,|,1.9200057681875222,4.569994231812479,4.569994231812476,5.11689578086242,5.116895780862419,5.11689578086242,5.11689578086242,0.9229677210939629,1.3731042191375789,0.0,9.611729533963052,0.0,0.0,9.611729533963052,|,0.9600057681875249,4.569994231812476,4.569994231812476,5.116895780862419,5.116895780862418,5.116895780862419,5.116895780862419,0.8578624901230715,0.41310421913758244,0.0,1.6524168765503298,0.0,20.467583123449675,22.120000000000005,|,1.8498827394471151,8.840117260552885,4.270123028740412,5.116895780862418,5.116895780862416,5.116895780862418,5.116895780862418,0.8807474042418266,1.003109987325109,0.0,2.006219974650218,0.0,10.233791561724836,12.240011536375054
10,|,1.3731042191375789,5.116895780862421,5.116895780862419,4.348706562442514,4.348706562442514,4.348706562442514,4.348706562442514,0.9289053116540671,2.1412934375574837,0.0,14.989054062902387,0.0,0.0,14.989054062902387,|,0.41310421913758244,5.116895780862418,5.116895780862418,4.348706562442514,4.348706562442514,4.348706562442514,4.348706562442514,0.8688183432909548,1.1812934375574864,0.0,4.725173750229946,0.0,17.394826249770055,22.12,|,1.003109987325109,9.68689001267489,4.569994231812474,4.348706562442514,4.348706562442514,4.348706562442514,4.348706562442514,0.8899393053110569,1.2243976566950696,0.0,2.4487953133901392,0.0,8.697413124885028,11.146208438275167
11,|,2.1412934375574837,4.3487065624425165,4.348706562442514,6.138417397298955,6.138417397298955,6.138417397298955,6.138417397298955,0.9358814850666716,0.35158260270104247,0.0,2.4610782189072973,0.0,0.0,2.4610782189072973,|,1.1812934375574864,4.348706562442514,4.348706562442514,6.138417397298955,6.138417397298955,5.53,5.53,0.8719647567989254,-0.6084173972989548,0.6084173972989548,0.0,0.0,22.12,22.12,|,1.2243976566950696,9.46560234330493,5.116895780862416,6.138417397298955,6.138417397298955,6.138417397298955,6.138417397298955,0.9007390219977075,0.20287604025853057,0.0,0.40575208051706113,0.0,12.27683479459791,12.682586875114971
12,|,0.35158260270104247,6.138417397298957,5.53,5.846005835150972,5.846005835150973,5.846005835150972,5.846005835150972,0.9413613159635771,0.03557676755007044,0.0,0.2490373728504931,0.0,0.0,0.2490373728504931,|,-0.6084173972989548,6.138417397298955,6.138417397298955,5.846005835150973,5.846005835150973,6.138417397298955,5.53,0.878287411534462,-0.3160058351509729,0.3160058351509729,0.0,0.0,24.55366958919582,24.55366958919582,|,0.20287604025853057,10.487123959741469,4.348706562442514,5.846005835150973,5.846005835150973,4.551582602701044,4.551582602701044,0.8902988025799015,-1.2944232324499287,1.2944232324499287,0.0,0.0,9.103165205402089,9.103165205402089
13,|,0.03557676755007044,6.454423232449931,6.138417397298955,5.813622274017829,5.8136222740178285,5.813622274017829,5.813622274017829,0.9459546653309452,0.36037189083119614,0.0,2.522603235818373,0.0,0.0,2.522603235818373,|,-0.3160058351509729,5.846005835150972,4.551582602701044,5.8136222740178285,5.813622274017829,4.551582602701044,4.2355767675500715,0.8665588561567868,-1.578045506467757,1.578045506467757,0.0,0.0,18.206330410804178,18.206330410804178,|,-1.2944232324499287,11.98442323244993,6.138417397298955,5.813622274017829,5.813622274017828,6.138417397298955,4.843994164849026,0.885827209868251,-0.969628109168803,0.969628109168803,0.0,0.0,12.27683479459791,12.27683479459791
14,|,0.36037189083119614,6.129628109168804,4.551582602701044,3.6459200651246326,3.6459200651246326,3.6459200651246326,3.6459200651246326,0.9484853406382708,1.266034428407608,0.0,8.862240998853256,0.0,0.0,8.862240998853256,|,-1.578045506467757,7.108045506467757,6.138417397298955,3.6459200651246326,3.6459200651246326,5.223965571592389,3.645920065124632,0.8728072439181577,0.9144518257065655,4.440892098500626e-16,3.657807302826262,0.0,20.895862286369557,24.55366958919582,|,-0.969628109168803,11.659628109168803,5.846005835150973,3.6459200651246326,3.6459200651246313,4.615548174293435,3.645920065124632,0.8911733560716962,1.2304576608575375,4.440892098500626e-16,2.460915321715075,0.0,9.23109634858687,11.692011670301945
15,|,1.266034428407608,5.223965571592393,5.223965571592389,6.174922033899645,6.174922033899645,6.174922033899645,6.174922033899645,0.9522705425473863,0.3150779661003513,0.0,2.2055457627024593,0.0,0.0,2.2055457627024593,|,0.9144518257065655,4.615548174293435,4.615548174293435,6.174922033899645,6.1749220338996444,5.530000000000001,5.530000000000001,0.8744789175655284,-0.6449220338996442,0.6449220338996442,0.0,0.0,22.120000000000005,22.120000000000005,|,1.2304576608575375,9.459542339142462,5.813622274017828,6.1749220338996444,6.1749220338996444,6.1749220338996444,6.1749220338996444,0.8991697366255791,0.8691579009757202,0.0,1.7383158019514404,0.0,12.349844067799289,14.08815986975073
16,|,0.3150779661003513,6.17492203389965,5.530000000000001,2.7566568425319655,2.7566568425319646,2.7566568425319655,2.7566568425319655,0.9537864705813138,3.088421123568387,0.0,21.618947864978708,0.0,0.0,21.618947864978708,|,-0.6449220338996442,6.1749220338996444,6.1749220338996444,2.7566568425319646,2.7566568425319646,3.401578876431609,2.7566568425319646,0.878465573560943,2.7733431574680356,0.0,11.093372629872142,0.0,13.606315505726435,24.699688135598578,|,0.8691579009757202,9.82084209902428,3.6459200651246313,2.7566568425319646,2.7566568425319646,2.7566568425319646,2.7566568425319646,0.9023721912746673,1.7584211235683869,0.0,3.5168422471367737,0.0,5.513313685063929,9.030155932200703
17,|,3.088421123568387,3.401578876431614,3.401578876431609,3.6503811727047335,3.6503811727047326,3.6503811727047335,3.6503811727047335,0.955651668328751,2.8396188272952623,0.0,19.877331791066837,0.0,0.0,19.877331791066837,|,2.7733431574680356,2.7566568425319637,2.7566568425319646,3.6503811727047326,3.6503811727047335,3.6503811727047326,3.6503811727047326,0.8833707548202333,1.8796188272952676,0.0,7.5184753091810705,0.0,14.60152469081893,22.12,|,1.7584211235683869,8.931578876431612,6.1749220338996444,3.6503811727047335,3.6503811727047353,3.6503811727047335,3.6503811727047335,0.9063124912520173,4.282961984763298,0.0,8.565923969526596,0.0,7.300762345409467,15.866686314936063
