t,|i=1,IO:EXT,IOPL:EXT,OQ:2,OQ:3,OO:2,OO:3,IS:2,IS:3,ISPL:2,ISPL:3,RM:2,RM:3,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:1,IOPL:1,OQ:5,OO:5,IS:5,ISPL:5,RM:5,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC,|i=3,IO:1,IOPL:1,OQ:4,OO:4,IS:4,ISPL:4,RM:4,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC,|i=4,IO:3,IOPL:3,OQ:6,OQ:7,OO:6,OO:7,IS:6,IS:7,ISPL:6,ISPL:7,RM:6,RM:7,OS:3,DMFS,FR,IL,HC,SC,ITHC,TC,|i=5,IO:2,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=6,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,HC,SC,ITHC,TC,|i=7,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,HC,SC,ITHC,TC
20,|,9,[0],12.0,12.0,12.0,12.0,0.0,0.0,"[0, 12.0, 0]","[0, 12.0, 0]",0.0,0.0,0.0,0.0,0.18421052631578946,-24.0,0.0,0.0,0.0,0.0,|,12.0,[0],16.0,16.0,0.0,"[0, 16.0, 0]",0.0,12.0,12.0,1.0,0.0,0.0,0,0.0,0.0,|,12.0,[0],0.0,18.0,5.0,"[0, 16.0, 2.0, 0.0, 0, 0, 0]",0.0,12.0,12.0,1.0,5.0,0.0,0,0.0,0.0,|,0.0,[0],17.0,17.0,21.0,21.0,2.0,2.0,"[0, 4.0, 17.0, 0, 0]","[0, 4.0, 17.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0.0,0.0,|,16.0,[0],9.0,24.0,2.0,"[0, 3.0, 6.0, 6.0, 9.0, 0, 0, 0, 0]",0.0,16.0,16.0,1.0,8.0,0.0,0,0.0,0.0,|,17.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,17.0,17.0,1.0,13.0,0.0,0,0.0,0.0,|,17.0,[0],9.0,15.0,6.0,"[0, 6.0, 9.0, 0, 0]",0.0,17.0,17.0,1.0,17.0,0.0,0,0.0,0.0
21,|,1,[0],0.0,0.0,0.0,0.0,12.0,12.0,"[0, 0.0, 0]","[0, 0.0, 0]",0.0,0.0,12.0,0.0,0.1826086956521739,-13.0,0.0,0.0,0.0,0.0,|,0.0,[0],0.0,0.0,16.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,16.0,0.0,0,0.0,0.0,|,0.0,[0],2.0,4.0,16.0,"[0, 2.0, 0.0, 2.0, 0, 0, 0]",0.0,0.0,0.0,1.0,21.0,0.0,0,0.0,0.0,|,2.0,[0],8.0,8.0,25.0,25.0,4.0,4.0,"[0, 17.0, 8.0, 0, 0]","[0, 17.0, 8.0, 0, 0]",0.0,0.0,2.0,2.0,1.0,4.0,0.0,0,0.0,0.0,|,0.0,[0],9.0,30.0,3.0,"[0, 6.0, 6.0, 9.0, 9.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,11.0,0.0,0,0.0,0.0,|,8.0,[0],9.0,9.0,4.0,"[0, 9.0, 0]",0.0,8.0,8.0,1.0,9.0,0.0,0,0.0,0.0,|,8.0,[0],9.0,18.0,6.0,"[0, 9.0, 9.0, 0, 0]",0.0,8.0,8.0,1.0,15.0,0.0,0,0.0,0.0
22,|,5,[0],16.0,16.0,16.0,16.0,0.0,0.0,"[0, 16.0, 0]","[0, 16.0, 0]",0.0,0.0,0.0,0.0,0.175,-18.0,0.0,0.0,0.0,0.0,|,16.0,[0],5.0,5.0,0.0,"[0, 5.0, 0]",0.0,16.0,16.0,1.0,0.0,0.0,0,0.0,0.0,|,16.0,[0],4.0,6.0,2.0,"[0, 0.0, 2.0, 4.0, 0, 0, 0]",0.0,16.0,16.0,1.0,7.0,0.0,0,0.0,0.0,|,4.0,[0],0.0,0.0,8.0,8.0,17.0,17.0,"[0, 8.0, 0.0, 0, 0]","[0, 8.0, 0.0, 0, 0]",0.0,0.0,4.0,4.0,1.0,17.0,0.0,0,0.0,0.0,|,5.0,[0],1.0,25.0,6.0,"[0, 6.0, 9.0, 9.0, 1.0, 0, 0, 0, 0]",0.0,5.0,5.0,1.0,12.0,0.0,0,0.0,0.0,|,0.0,[0],6.0,6.0,9.0,"[0, 6.0, 0]",0.0,0.0,0.0,1.0,18.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,10.0,9.0,"[0, 9.0, 1.0, 0, 0]",0.0,0.0,0.0,1.0,24.0,0.0,0,0.0,0.0
23,|,1,[0],0.0,0.0,0.0,0.0,16.0,16.0,"[0, 0.0, 0]","[0, 0.0, 0]",0.0,0.0,16.0,0.0,0.17355371900826447,-3.0,0.0,0.0,0.0,0.0,|,0.0,[0],4.0,4.0,5.0,"[0, 4.0, 0]",0.0,0.0,0.0,1.0,5.0,0.0,0,0.0,0.0,|,0.0,[0],17.0,23.0,0.0,"[0, 2.0, 4.0, 17.0, 0, 0, 0]",0.0,0.0,0.0,1.0,7.0,0.0,0,0.0,0.0,|,17.0,[0],3.0,3.0,3.0,3.0,8.0,8.0,"[0, 0.0, 3.0, 0, 0]","[0, 0.0, 3.0, 0, 0]",0.0,0.0,17.0,17.0,1.0,8.0,0.0,0,0.0,0.0,|,4.0,[0],5.0,24.0,6.0,"[0, 9.0, 9.0, 1.0, 5.0, 0, 0, 0, 0]",0.0,4.0,4.0,1.0,14.0,0.0,0,0.0,0.0,|,3.0,[0],1.0,1.0,6.0,"[0, 1.0, 0]",0.0,3.0,3.0,1.0,21.0,0.0,0,0.0,0.0,|,3.0,[0],5.0,6.0,9.0,"[0, 1.0, 5.0, 0, 0]",0.0,3.0,3.0,1.0,30.0,0.0,0,0.0,0.0
24,|,0,[0],5.0,5.0,5.0,5.0,0.0,0.0,"[0, 5.0, 0]","[0, 5.0, 0]",0.0,0.0,0.0,0.0,0.17355371900826447,-3.0,0.0,0.0,0.0,0.0,|,5.0,[0],2.0,2.0,4.0,"[0, 2.0, 0]",0.0,5.0,5.0,1.0,4.0,0.0,0,0.0,0.0,|,5.0,[0],8.0,29.0,2.0,"[0, 4.0, 17.0, 8.0, 0, 0, 0]",0.0,5.0,5.0,1.0,4.0,0.0,0,0.0,0.0,|,8.0,[0],0.0,0.0,3.0,3.0,0.0,0.0,"[0, 3.0, 0.0, 0, 0]","[0, 3.0, 0.0, 0, 0]",0.0,0.0,8.0,8.0,1.0,0.0,0.0,0,0.0,0.0,|,2.0,[0],1.0,16.0,9.0,"[0, 9.0, 1.0, 5.0, 1.0, 0, 0, 0, 0]",0.0,2.0,2.0,1.0,21.0,0.0,0,0.0,0.0,|,0.0,[0],5.0,5.0,1.0,"[0, 5.0, 0]",0.0,0.0,0.0,1.0,22.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,6.0,1.0,"[0, 5.0, 1.0, 0, 0]",0.0,0.0,0.0,1.0,31.0,0.0,0,0.0,0.0
25,|,5,[0],4.0,4.0,4.0,4.0,5.0,5.0,"[0, 4.0, 0]","[0, 4.0, 0]",0.0,0.0,5.0,2.0,0.18253968253968253,-3.0,0.0,0.0,0.0,0.0,|,4.0,[0],12.0,12.0,2.0,"[0, 12.0, 0]",0.0,4.0,4.0,1.0,2.0,0.0,0,0.0,0.0,|,4.0,[0],0.0,25.0,4.0,"[0, 17.0, 8.0, 0.0, 0, 0, 0]",0.0,4.0,4.0,1.0,4.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,0.0,0.0,3.0,3.0,"[0, 0.0, 0.0, 0, 0]","[0, 0.0, 0.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0.0,0.0,|,12.0,[0],0.0,7.0,9.0,"[0, 1.0, 5.0, 1.0, 0.0, 0, 0, 0, 0]",0.0,12.0,12.0,1.0,18.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,0.0,5.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,27.0,0.0,0,0.0,0.0,|,0.0,[0],0.0,1.0,5.0,"[0, 1.0, 0.0, 0, 0]",0.0,0.0,0.0,1.0,36.0,0.0,0,0.0,0.0
26,|,6,[0],2.0,2.0,2.0,2.0,4.0,4.0,"[0, 2.0, 0]","[0, 2.0, 0]",0.0,0.0,4.0,1.0,0.18181818181818182,-5.0,0.0,0.0,0.0,0.0,|,2.0,[0],0.0,0.0,12.0,"[0, 0.0, 0]",0.0,2.0,2.0,1.0,12.0,0.0,0,0.0,0.0,|,2.0,[0],3.0,11.0,17.0,"[0, 8.0, 0.0, 3.0, 0, 0, 0]",0.0,2.0,2.0,1.0,19.0,0.0,0,0.0,0.0,|,3.0,[0],11.0,11.0,11.0,11.0,0.0,0.0,"[0, 0.0, 11.0, 0, 0]","[0, 0.0, 11.0, 0, 0]",0.0,0.0,3.0,3.0,1.0,0.0,0.0,0,0.0,0.0,|,0.0,[0],5.0,11.0,1.0,"[0, 5.0, 1.0, 0.0, 5.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,19.0,0.0,0,0.0,0.0,|,11.0,[0],5.0,5.0,0.0,"[0, 5.0, 0]",0.0,11.0,11.0,1.0,16.0,0.0,0,0.0,0.0,|,11.0,[0],5.0,5.0,1.0,"[0, 0.0, 5.0, 0, 0]",0.0,11.0,11.0,1.0,26.0,0.0,0,0.0,0.0
27,|,6,[0],9.0,9.0,9.0,9.0,2.0,2.0,"[0, 9.0, 0]","[0, 9.0, 0]",0.0,0.0,2.0,0.0,0.17391304347826086,-9.0,0.0,0.0,0.0,0.0,|,9.0,[0],7.0,7.0,0.0,"[0, 7.0, 0]",0.0,9.0,9.0,1.0,3.0,0.0,0,0.0,0.0,|,9.0,[0],0.0,3.0,8.0,"[0, 0.0, 3.0, 0.0, 0, 0, 0]",0.0,9.0,9.0,1.0,18.0,0.0,0,0.0,0.0,|,0.0,[0],2.0,2.0,13.0,13.0,0.0,0.0,"[0, 11.0, 2.0, 0, 0]","[0, 11.0, 2.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,|,7.0,[0],6.0,12.0,5.0,"[0, 1.0, 0.0, 5.0, 6.0, 0, 0, 0, 0]",0.0,7.0,7.0,1.0,17.0,0.0,0,0.0,0.0,|,2.0,[0],6.0,6.0,5.0,"[0, 6.0, 0]",0.0,2.0,2.0,1.0,19.0,0.0,0,0.0,0.0,|,2.0,[0],6.0,11.0,0.0,"[0, 5.0, 6.0, 0, 0]",0.0,2.0,2.0,1.0,24.0,0.0,0,0.0,0.0
28,|,2,[0],3.0,3.0,3.0,3.0,9.0,9.0,"[0, 3.0, 0]","[0, 3.0, 0]",0.0,0.0,9.0,0.0,0.17142857142857143,-2.0,0.0,0.0,0.0,0.0,|,3.0,[0],10.0,10.0,7.0,"[0, 10.0, 0]",0.0,3.0,3.0,1.0,7.0,0.0,0,0.0,0.0,|,3.0,[0],0.0,3.0,0.0,"[0, 3.0, 0.0, 0.0, 0, 0, 0]",0.0,3.0,3.0,1.0,15.0,0.0,0,0.0,0.0,|,0.0,[0],10.0,10.0,12.0,12.0,11.0,11.0,"[0, 2.0, 10.0, 0, 0]","[0, 2.0, 10.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,11.0,0.0,0,0.0,0.0,|,10.0,[0],6.0,17.0,1.0,"[0, 0.0, 5.0, 6.0, 6.0, 0, 0, 0, 0]",0.0,10.0,10.0,1.0,8.0,0.0,0,0.0,0.0,|,10.0,[0],5.0,5.0,6.0,"[0, 5.0, 0]",0.0,10.0,10.0,1.0,15.0,0.0,0,0.0,0.0,|,10.0,[0],6.0,12.0,5.0,"[0, 6.0, 6.0, 0, 0]",0.0,10.0,10.0,1.0,19.0,0.0,0,0.0,0.0
29,|,6,[0],5.0,5.0,5.0,5.0,3.0,3.0,"[0, 5.0, 0]","[0, 5.0, 0]",0.0,0.0,3.0,1.0,0.17123287671232876,-5.0,0.0,0.0,0.0,0.0,|,5.0,[0],0.0,0.0,10.0,"[0, 0.0, 0]",0.0,5.0,5.0,1.0,12.0,0.0,0,0.0,0.0,|,5.0,[0],11.0,11.0,3.0,"[0, 0.0, 0.0, 11.0, 0, 0, 0]",0.0,5.0,5.0,1.0,13.0,0.0,0,0.0,0.0,|,11.0,[0],3.0,3.0,13.0,13.0,2.0,2.0,"[0, 10.0, 3.0, 0, 0]","[0, 10.0, 3.0, 0, 0]",0.0,0.0,11.0,11.0,1.0,2.0,0.0,0,0.0,0.0,|,0.0,[0],2.0,19.0,0.0,"[0, 5.0, 6.0, 6.0, 2.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,8.0,0.0,0,0.0,0.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,1.0,17.0,0.0,0,0.0,0.0,|,3.0,[0],2.0,8.0,6.0,"[0, 6.0, 2.0, 0, 0]",0.0,3.0,3.0,1.0,22.0,0.0,0,0.0,0.0
30,|,9,[0],6.0,6.0,6.0,6.0,5.0,5.0,"[0, 6.0, 0]","[0, 6.0, 0]",0.0,0.0,5.0,0.0,0.16129032258064516,-9.0,0.0,0.0,0.0,0.0,|,6.0,[0],1.0,1.0,0.0,"[0, 1.0, 0]",0.0,6.0,6.0,1.0,6.0,0.0,0,0.0,0.0,|,6.0,[0],2.0,13.0,0.0,"[0, 0.0, 11.0, 2.0, 0, 0, 0]",0.0,6.0,6.0,1.0,7.0,0.0,0,0.0,0.0,|,2.0,[0],1.0,1.0,4.0,4.0,10.0,10.0,"[0, 3.0, 1.0, 0, 0]","[0, 3.0, 1.0, 0, 0]",0.0,0.0,2.0,2.0,1.0,10.0,0.0,0,0.0,0.0,|,1.0,[0],6.0,20.0,5.0,"[0, 6.0, 6.0, 2.0, 6.0, 0, 0, 0, 0]",0.0,1.0,1.0,1.0,12.0,0.0,0,0.0,0.0,|,1.0,[0],4.0,4.0,3.0,"[0, 4.0, 0]",0.0,1.0,1.0,1.0,19.0,0.0,0,0.0,0.0,|,1.0,[0],6.0,8.0,6.0,"[0, 2.0, 6.0, 0, 0]",0.0,1.0,1.0,1.0,27.0,0.0,0,0.0,0.0
31,|,8,[0],6.0,6.0,6.0,6.0,6.0,6.0,"[0, 6.0, 0]","[0, 6.0, 0]",0.0,0.0,6.0,0.0,0.15337423312883436,-11.0,0.0,0.0,0.0,0.0,|,6.0,[0],11.0,11.0,1.0,"[0, 11.0, 0]",0.0,6.0,6.0,1.0,1.0,0.0,0,0.0,0.0,|,6.0,[0],10.0,23.0,0.0,"[0, 11.0, 2.0, 10.0, 0, 0, 0]",0.0,6.0,6.0,1.0,1.0,0.0,0,0.0,0.0,|,10.0,[0],8.0,8.0,9.0,9.0,3.0,3.0,"[0, 1.0, 8.0, 0, 0]","[0, 1.0, 8.0, 0, 0]",0.0,0.0,10.0,10.0,1.0,3.0,0.0,0,0.0,0.0,|,11.0,[0],9.0,23.0,6.0,"[0, 6.0, 2.0, 6.0, 9.0, 0, 0, 0, 0]",0.0,11.0,11.0,1.0,7.0,0.0,0,0.0,0.0,|,8.0,[0],10.0,10.0,4.0,"[0, 10.0, 0]",0.0,8.0,8.0,1.0,15.0,0.0,0,0.0,0.0,|,8.0,[0],9.0,15.0,2.0,"[0, 6.0, 9.0, 0, 0]",0.0,8.0,8.0,1.0,21.0,0.0,0,0.0,0.0
32,|,10,[0],1.0,1.0,1.0,1.0,6.0,6.0,"[0, 1.0, 0]","[0, 1.0, 0]",0.0,0.0,6.0,0.0,0.14450867052023122,-15.0,0.0,0.0,0.0,0.0,|,1.0,[0],0.0,0.0,11.0,"[0, 0.0, 0]",0.0,1.0,1.0,1.0,11.0,0.0,0,0.0,0.0,|,1.0,[0],3.0,15.0,11.0,"[0, 2.0, 10.0, 3.0, 0, 0, 0]",0.0,1.0,1.0,1.0,11.0,0.0,0,0.0,0.0,|,3.0,[0],8.0,8.0,16.0,16.0,1.0,1.0,"[0, 8.0, 8.0, 0, 0]","[0, 8.0, 8.0, 0, 0]",0.0,0.0,3.0,3.0,1.0,1.0,0.0,0,0.0,0.0,|,0.0,[0],8.0,25.0,6.0,"[0, 2.0, 6.0, 9.0, 8.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,13.0,0.0,0,0.0,0.0,|,8.0,[0],5.0,5.0,10.0,"[0, 5.0, 0]",0.0,8.0,8.0,1.0,17.0,0.0,0,0.0,0.0,|,8.0,[0],8.0,17.0,6.0,"[0, 9.0, 8.0, 0, 0]",0.0,8.0,8.0,1.0,19.0,0.0,0,0.0,0.0
33,|,3,[0],11.0,11.0,11.0,11.0,1.0,1.0,"[0, 11.0, 0]","[0, 11.0, 0]",0.0,0.0,1.0,0.0,0.14204545454545456,-17.0,0.0,0.0,0.0,0.0,|,11.0,[0],10.0,10.0,0.0,"[0, 10.0, 0]",0.0,11.0,11.0,1.0,0.0,0.0,0,0.0,0.0,|,11.0,[0],1.0,14.0,2.0,"[0, 10.0, 3.0, 1.0, 0, 0, 0]",0.0,11.0,11.0,1.0,2.0,0.0,0,0.0,0.0,|,1.0,[0],14.0,14.0,22.0,22.0,8.0,8.0,"[0, 8.0, 14.0, 0, 0]","[0, 8.0, 14.0, 0, 0]",0.0,0.0,1.0,1.0,1.0,8.0,0.0,0,0.0,0.0,|,10.0,[0],10.0,33.0,2.0,"[0, 6.0, 9.0, 8.0, 10.0, 0, 0, 0, 0]",0.0,10.0,10.0,1.0,5.0,0.0,0,0.0,0.0,|,14.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,14.0,14.0,1.0,8.0,0.0,0,0.0,0.0,|,14.0,[0],10.0,18.0,9.0,"[0, 8.0, 10.0, 0, 0]",0.0,14.0,14.0,1.0,14.0,0.0,0,0.0,0.0
34,|,2,[0],0.0,0.0,0.0,0.0,11.0,11.0,"[0, 0.0, 0]","[0, 0.0, 0]",0.0,0.0,11.0,0.0,0.1404494382022472,-8.0,0.0,0.0,0.0,0.0,|,0.0,[0],0.0,0.0,10.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,10.0,0.0,0,0.0,0.0,|,0.0,[0],8.0,12.0,10.0,"[0, 3.0, 1.0, 8.0, 0, 0, 0]",0.0,0.0,0.0,1.0,12.0,0.0,0,0.0,0.0,|,8.0,[0],0.0,0.0,14.0,14.0,8.0,8.0,"[0, 14.0, 0.0, 0, 0]","[0, 14.0, 0.0, 0, 0]",0.0,0.0,8.0,8.0,1.0,8.0,0.0,0,0.0,0.0,|,0.0,[0],3.0,30.0,6.0,"[0, 9.0, 8.0, 10.0, 3.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,11.0,0.0,0,0.0,0.0,|,0.0,[0],11.0,11.0,5.0,"[0, 11.0, 0]",0.0,0.0,0.0,1.0,13.0,0.0,0,0.0,0.0,|,0.0,[0],3.0,13.0,8.0,"[0, 10.0, 3.0, 0, 0]",0.0,0.0,0.0,1.0,22.0,0.0,0,0.0,0.0
35,|,1,[0],10.0,10.0,10.0,10.0,0.0,0.0,"[0, 10.0, 0]","[0, 10.0, 0]",0.0,0.0,0.0,0.0,0.13966480446927373,-9.0,0.0,0.0,0.0,0.0,|,10.0,[0],3.0,3.0,0.0,"[0, 3.0, 0]",0.0,10.0,10.0,1.0,0.0,0.0,0,0.0,0.0,|,10.0,[0],8.0,17.0,3.0,"[0, 1.0, 8.0, 8.0, 0, 0, 0]",0.0,10.0,10.0,1.0,5.0,0.0,0,0.0,0.0,|,8.0,[0],0.0,0.0,0.0,0.0,14.0,14.0,"[0, 0.0, 0.0, 0, 0]","[0, 0.0, 0.0, 0, 0]",0.0,0.0,8.0,8.0,1.0,14.0,0.0,0,0.0,0.0,|,3.0,[0],2.0,23.0,9.0,"[0, 8.0, 10.0, 3.0, 2.0, 0, 0, 0, 0]",0.0,3.0,3.0,1.0,17.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,1.0,11.0,"[0, 1.0, 0]",0.0,0.0,0.0,1.0,24.0,0.0,0,0.0,0.0,|,0.0,[0],2.0,5.0,10.0,"[0, 3.0, 2.0, 0, 0]",0.0,0.0,0.0,1.0,32.0,0.0,0,0.0,0.0
36,|,9,[0],0.0,0.0,0.0,0.0,10.0,10.0,"[0, 0.0, 0]","[0, 0.0, 0]",0.0,0.0,10.0,1.0,0.13829787234042554,-8.0,0.0,0.0,0.0,0.0,|,0.0,[0],10.0,10.0,3.0,"[0, 10.0, 0]",0.0,0.0,0.0,1.0,3.0,0.0,0,0.0,0.0,|,0.0,[0],12.0,28.0,1.0,"[0, 8.0, 8.0, 12.0, 0, 0, 0]",0.0,0.0,0.0,1.0,6.0,0.0,0,0.0,0.0,|,12.0,[0],0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0.0, 0.0, 0, 0]","[0, 0.0, 0.0, 0, 0]",0.0,0.0,12.0,12.0,1.0,2.0,0.0,0,0.0,0.0,|,10.0,[0],1.0,16.0,8.0,"[0, 10.0, 3.0, 2.0, 1.0, 0, 0, 0, 0]",0.0,10.0,10.0,1.0,15.0,0.0,0,0.0,0.0,|,0.0,[0],3.0,3.0,1.0,"[0, 3.0, 0]",0.0,0.0,0.0,1.0,25.0,0.0,0,0.0,0.0,|,0.0,[0],1.0,3.0,3.0,"[0, 2.0, 1.0, 0, 0]",0.0,0.0,0.0,1.0,35.0,0.0,0,0.0,0.0
37,|,8,[0],3.0,3.0,3.0,3.0,0.0,0.0,"[0, 3.0, 0]","[0, 3.0, 0]",0.0,0.0,0.0,0.0,0.1326530612244898,-16.0,0.0,0.0,0.0,0.0,|,3.0,[0],1.0,1.0,10.0,"[0, 1.0, 0]",0.0,3.0,3.0,1.0,10.0,0.0,0,0.0,0.0,|,3.0,[0],2.0,22.0,8.0,"[0, 8.0, 12.0, 2.0, 0, 0, 0]",0.0,3.0,3.0,1.0,11.0,0.0,0,0.0,0.0,|,2.0,[0],7.0,7.0,7.0,7.0,0.0,0.0,"[0, 0.0, 7.0, 0, 0]","[0, 0.0, 7.0, 0, 0]",0.0,0.0,2.0,2.0,1.0,0.0,0.0,0,0.0,0.0,|,1.0,[0],9.0,15.0,10.0,"[0, 3.0, 2.0, 1.0, 9.0, 0, 0, 0, 0]",0.0,1.0,1.0,1.0,24.0,0.0,0,0.0,0.0,|,7.0,[0],8.0,8.0,3.0,"[0, 8.0, 0]",0.0,7.0,7.0,1.0,21.0,0.0,0,0.0,0.0,|,7.0,[0],9.0,10.0,2.0,"[0, 1.0, 9.0, 0, 0]",0.0,7.0,7.0,1.0,30.0,0.0,0,0.0,0.0
38,|,3,[0],10.0,10.0,10.0,10.0,3.0,3.0,"[0, 10.0, 0]","[0, 10.0, 0]",0.0,0.0,3.0,0.0,0.1306532663316583,-16.0,0.0,0.0,0.0,0.0,|,10.0,[0],12.0,12.0,1.0,"[0, 12.0, 0]",0.0,10.0,10.0,1.0,1.0,0.0,0,0.0,0.0,|,10.0,[0],0.0,14.0,8.0,"[0, 12.0, 2.0, 0.0, 0, 0, 0]",0.0,10.0,10.0,1.0,9.0,0.0,0,0.0,0.0,|,0.0,[0],15.0,15.0,22.0,22.0,0.0,0.0,"[0, 7.0, 15.0, 0, 0]","[0, 7.0, 15.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,|,12.0,[0],8.0,20.0,3.0,"[0, 2.0, 1.0, 9.0, 8.0, 0, 0, 0, 0]",0.0,12.0,12.0,1.0,15.0,0.0,0,0.0,0.0,|,15.0,[0],9.0,9.0,8.0,"[0, 9.0, 0]",0.0,15.0,15.0,1.0,14.0,0.0,0,0.0,0.0,|,15.0,[0],8.0,17.0,1.0,"[0, 9.0, 8.0, 0, 0]",0.0,15.0,15.0,1.0,16.0,0.0,0,0.0,0.0
39,|,2,[0],1.0,1.0,1.0,1.0,10.0,10.0,"[0, 1.0, 0]","[0, 1.0, 0]",0.0,0.0,10.0,0.0,0.12935323383084577,-8.0,0.0,0.0,0.0,0.0,|,1.0,[0],0.0,0.0,12.0,"[0, 0.0, 0]",0.0,1.0,1.0,1.0,12.0,0.0,0,0.0,0.0,|,1.0,[0],0.0,2.0,12.0,"[0, 2.0, 0.0, 0.0, 0, 0, 0]",0.0,1.0,1.0,1.0,20.0,0.0,0,0.0,0.0,|,0.0,[0],4.0,4.0,19.0,19.0,7.0,7.0,"[0, 15.0, 4.0, 0, 0]","[0, 15.0, 4.0, 0, 0]",0.0,0.0,0.0,0.0,1.0,7.0,0.0,0,0.0,0.0,|,0.0,[0],3.0,21.0,2.0,"[0, 1.0, 9.0, 8.0, 3.0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,17.0,0.0,0,0.0,0.0,|,4.0,[0],1.0,1.0,9.0,"[0, 1.0, 0]",0.0,4.0,4.0,1.0,19.0,0.0,0,0.0,0.0,|,4.0,[0],3.0,11.0,9.0,"[0, 8.0, 3.0, 0, 0]",0.0,4.0,4.0,1.0,21.0,0.0,0,0.0,0.0
40,|,7,[0],12.0,12.0,12.0,12.0,1.0,1.0,"[0, 12.0, 0]","[0, 12.0, 0]",0.0,0.0,1.0,0.0,0.125,-14.0,0.0,0.0,0.0,0.0,|,12.0,[0],8.0,8.0,0.0,"[0, 8.0, 0]",0.0,12.0,12.0,1.0,0.0,0.0,0,0.0,0.0,|,12.0,[0],7.0,7.0,2.0,"[0, 0.0, 0.0, 7.0, 0, 0, 0]",0.0,12.0,12.0,1.0,10.0,0.0,0,0.0,0.0,|,7.0,[0],3.0,3.0,7.0,7.0,15.0,15.0,"[0, 4.0, 3.0, 0, 0]","[0, 4.0, 3.0, 0, 0]",0.0,0.0,7.0,7.0,1.0,15.0,0.0,0,0.0,0.0,|,8.0,[0],2.0,22.0,1.0,"[0, 9.0, 8.0, 3.0, 2.0, 0, 0, 0, 0]",0.0,8.0,8.0,1.0,10.0,0.0,0,0.0,0.0,|,3.0,[0],4.0,4.0,1.0,"[0, 4.0, 0]",0.0,3.0,3.0,1.0,17.0,0.0,0,0.0,0.0,|,3.0,[0],2.0,5.0,8.0,"[0, 3.0, 2.0, 0, 0]",0.0,3.0,3.0,1.0,26.0,0.0,0,0.0,0.0
41,|,10,[0],0.0,0.0,0.0,0.0,12.0,12.0,"[0, 0.0, 0]","[0, 0.0, 0]",0.0,0.0,12.0,0.0,0.11926605504587157,-12.0,0.0,0.0,0.0,0.0,|,0.0,[0],2.0,2.0,8.0,"[0, 2.0, 0]",0.0,0.0,0.0,1.0,8.0,0.0,0,0.0,0.0,|,0.0,[0],15.0,22.0,0.0,"[0, 0.0, 7.0, 15.0, 0, 0, 0]",0.0,0.0,0.0,1.0,10.0,0.0,0,0.0,0.0,|,15.0,[0],0.0,0.0,3.0,3.0,4.0,4.0,"[0, 3.0, 0.0, 0, 0]","[0, 3.0, 0.0, 0, 0]",0.0,0.0,15.0,15.0,1.0,4.0,0.0,0,0.0,0.0,|,2.0,[0],7.0,20.0,9.0,"[0, 8.0, 3.0, 2.0, 7.0, 0, 0, 0, 0]",0.0,2.0,2.0,1.0,17.0,0.0,0,0.0,0.0,|,0.0,[0],7.0,7.0,4.0,"[0, 7.0, 0]",0.0,0.0,0.0,1.0,21.0,0.0,0,0.0,0.0,|,0.0,[0],7.0,9.0,3.0,"[0, 2.0, 7.0, 0, 0]",0.0,0.0,0.0,1.0,29.0,0.0,0,0.0,0.0
