t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
14,|,2.0,[0],2.0,2.0,7.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.975609756097561,8.0,80.0,0,0.0,80.0,|,2.0,[0],2.0,2.0,7.0,"[0, 2.0, 0]",0.0,2.0,2.0,1.0,13.0,65.0,0,0.0,65.0,|,2.0,[0],2.0,2.0,7.0,"[0, 2.0, 0]",0.0,2.0,2.0,1.0,18.0,18.0,0,0.0,18.0
15,|,8.0,[0],8.0,8.0,2.0,"[0, 8.0, 0]",0.0,8.0,8.0,0.9777777777777777,2.0,20.0,0,0.0,20.0,|,8.0,[0],8.0,8.0,2.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,7.0,35.0,0,0.0,35.0,|,8.0,[0],8.0,8.0,2.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,12.0,12.0,0,0.0,12.0
16,|,0,[0],0.0,0.0,8.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.9777777777777777,10.0,100.0,0,0.0,100.0,|,0.0,[0],0.0,0.0,8.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,15.0,75.0,0,0.0,75.0,|,0.0,[0],0.0,0.0,8.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,20.0,20.0,0,0.0,20.0
17,|,2.0,[0],2.0,2.0,0.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.9782608695652174,8.0,80.0,0,0.0,80.0,|,2.0,[0],2.0,2.0,0.0,"[0, 2.0, 0]",0.0,2.0,2.0,1.0,13.0,65.0,0,0.0,65.0,|,2.0,[0],2.0,2.0,0.0,"[0, 2.0, 0]",0.0,2.0,2.0,1.0,18.0,18.0,0,0.0,18.0
18,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9797979797979798,3.0,30.0,0,0.0,30.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,8.0,40.0,0,0.0,40.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,13.0,13.0,0,0.0,13.0
19,|,9.0,[0],9.0,9.0,7.0,"[0, 9.0, 0]",0.0,9.0,9.0,0.9814814814814815,1.0,10.0,0,0.0,10.0,|,9.0,[0],9.0,9.0,7.0,"[0, 9.0, 0]",0.0,9.0,9.0,1.0,6.0,30.0,0,0.0,30.0,|,9.0,[0],9.0,9.0,7.0,"[0, 9.0, 0]",0.0,9.0,9.0,1.0,11.0,11.0,0,0.0,11.0
20,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.9823008849557522,5.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,10.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,15.0,15.0,0,0.0,15.0
21,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.9827586206896551,7.0,70.0,0,0.0,70.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,1.0,12.0,60.0,0,0.0,60.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,1.0,17.0,17.0,0,0.0,17.0
22,|,8.0,[0],8.0,8.0,3.0,"[0, 8.0, 0]",0.0,8.0,8.0,0.9838709677419355,2.0,20.0,0,0.0,20.0,|,8.0,[0],8.0,8.0,3.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,7.0,35.0,0,0.0,35.0,|,8.0,[0],8.0,8.0,3.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,12.0,12.0,0,0.0,12.0
23,|,8.0,[0],8.0,8.0,8.0,"[0, 8.0, 0]",0.0,8.0,8.0,0.9848484848484849,2.0,20.0,0,0.0,20.0,|,8.0,[0],8.0,8.0,8.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,7.0,35.0,0,0.0,35.0,|,8.0,[0],8.0,8.0,8.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,12.0,12.0,0,0.0,12.0
