t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
8,|,17.2987697125959,42.70123028740411,42.701230287404115,45.69994231812477,45.69994231812476,45.69994231812477,45.69994231812477,0.9143040838036743,14.300057681875245,0.0,143.00057681875245,0.0,0.0,143.00057681875245,|,17.298769712595885,42.70123028740411,42.70123028740411,45.69994231812476,45.69994231812477,45.69994231812476,45.69994231812476,0.9143040838036743,14.30005768187523,0.0,143.0005768187523,0.0,456.9994231812476,599.9999999999999,|,17.298769712595906,42.7012302874041,42.70123028740411,45.69994231812477,45.69994231812476,45.69994231812477,45.69994231812477,0.95517558120863,14.300057681875245,0.0,143.00057681875245,0.0,456.9994231812477,600.0000000000002
9,|,14.300057681875245,45.699942318124755,45.69994231812476,51.1689578086242,51.1689578086242,51.1689578086242,51.1689578086242,0.9227253944081124,8.831042191375808,0.0,88.31042191375808,0.0,0.0,88.31042191375808,|,14.30005768187523,45.69994231812476,45.69994231812477,51.1689578086242,51.16895780862421,51.1689578086242,51.1689578086242,0.9227253944081124,8.8310421913758,0.0,88.310421913758,0.0,511.689578086242,600.0,|,14.300057681875245,45.69994231812476,45.69994231812476,51.16895780862421,51.1689578086242,51.16895780862421,51.16895780862421,0.9595804626786029,8.8310421913758,0.0,88.310421913758,0.0,511.6895780862421,600.0000000000001
10,|,8.831042191375808,51.16895780862419,51.1689578086242,43.48706562442514,43.48706562442514,43.48706562442514,43.48706562442514,0.928681663328286,16.512934375574865,0.0,165.12934375574866,0.0,0.0,165.12934375574866,|,8.8310421913758,51.1689578086242,51.16895780862421,43.48706562442514,43.48706562442514,43.48706562442514,43.48706562442514,0.928681663328286,16.512934375574865,0.0,165.12934375574866,0.0,434.87065624425145,600.0000000000001,|,8.8310421913758,51.16895780862421,51.1689578086242,43.48706562442514,43.487065624425135,43.48706562442514,43.48706562442514,0.9626959704456268,16.512934375574858,0.0,165.12934375574858,0.0,434.87065624425145,600.0
11,|,16.512934375574865,43.48706562442514,43.48706562442514,61.38417397298955,61.384173972989544,60.00000000000001,60.00000000000001,0.9334671238303666,-1.3841739729895437,1.3841739729895437,0.0,138.41739729895437,0.0,138.41739729895437,|,16.512934375574865,43.487065624425135,43.48706562442514,61.384173972989544,61.384173972989544,60.00000000000001,60.00000000000001,0.9334671238303666,-1.3841739729895366,1.3841739729895366,0.0,27.683479459790732,600.0000000000001,627.6834794597909,|,16.512934375574858,43.48706562442514,43.487065624425135,61.384173972989544,61.384173972989544,59.99999999999999,59.99999999999999,0.9641437736559904,-1.3841739729895508,1.3841739729895508,0.0,0.0,599.9999999999999,599.9999999999999
12,|,-1.3841739729895437,61.384173972989544,60.00000000000001,58.46005835150972,58.46005835150972,59.844232324499266,58.46005835150972,0.939153295927045,0.15576767550074067,0.0,1.5576767550074067,0.0,0.0,1.5576767550074067,|,-1.3841739729895366,61.38417397298953,59.99999999999999,58.46005835150972,58.46005835150973,59.84423232449926,58.46005835150972,0.939153295927045,0.15576767550073356,0.0,1.5576767550073356,0.0,598.4423232449926,600.0,|,-1.3841739729895508,61.38417397298955,61.384173972989544,58.46005835150973,58.46005835150973,59.84423232449928,58.46005835150973,0.9672081936159762,1.539941648490263,0.0,15.39941648490263,0.0,598.4423232449928,613.8417397298955
13,|,0.15576767550074067,59.844232324499266,59.84423232449926,58.1362227401783,58.13622274017829,58.1362227401783,58.1362227401783,0.943919606328662,1.8637772598217026,0.0,18.637772598217026,0.0,0.0,18.637772598217026,|,0.15576767550073356,59.844232324499266,59.84423232449928,58.13622274017829,58.13622274017829,58.13622274017829,58.13622274017829,0.943919606328662,1.863777259821724,0.0,18.63777259821724,0.0,581.3622274017829,600.0000000000001,|,1.539941648490263,58.46005835150973,58.46005835150973,58.13622274017829,58.1362227401783,58.13622274017829,58.13622274017829,0.9697768771665032,1.8637772598217026,0.0,18.637772598217026,0.0,581.3622274017829,599.9999999999999
14,|,1.8637772598217026,58.1362227401783,58.13622274017829,36.45920065124633,36.45920065124633,36.45920065124633,36.45920065124633,0.9465455733683373,23.540799348753666,0.0,235.40799348753666,0.0,0.0,235.40799348753666,|,1.863777259821724,58.136222740178276,58.13622274017829,36.45920065124633,36.45920065124633,36.45920065124633,36.45920065124633,0.9465455733683373,23.540799348753687,0.0,235.40799348753688,0.0,364.5920065124633,600.0000000000002,|,1.8637772598217026,58.1362227401783,58.1362227401783,36.45920065124633,36.45920065124633,36.45920065124633,36.45920065124633,0.9711920762976282,23.540799348753673,0.0,235.40799348753671,0.0,364.5920065124633,600.0
15,|,23.540799348753666,36.45920065124633,36.45920065124633,61.74922033899645,61.74922033899646,59.99999999999999,59.99999999999999,0.9483918305068348,-1.7492203389964587,1.7492203389964587,0.0,174.92203389964587,0.0,174.92203389964587,|,23.540799348753687,36.45920065124631,36.45920065124633,61.74922033899646,61.74922033899646,60.000000000000014,60.000000000000014,0.9483918305068348,-1.7492203389964445,1.7492203389964445,0.0,34.98440677992889,600.0000000000001,634.984406779929,|,23.540799348753673,36.45920065124632,36.45920065124633,61.74922033899646,61.749220338996466,60.0,60.0,0.9712273539771357,-1.7492203389964587,1.7492203389964587,0.0,0.0,600.0,600.0
16,|,-1.7492203389964587,61.74922033899646,60.000000000000014,27.566568425319655,27.56656842531966,29.315788764316114,27.566568425319655,0.9500309497235585,30.6842112356839,0.0,306.842112356839,0.0,0.0,306.842112356839,|,-1.7492203389964445,61.749220338996444,60.0,27.56656842531966,27.56656842531966,29.315788764316103,27.56656842531966,0.9500309497235585,30.684211235683897,0.0,306.842112356839,0.0,293.157887643161,600.0,|,-1.7492203389964587,61.74922033899646,61.749220338996466,27.56656842531966,27.56656842531966,29.315788764316117,27.56656842531966,0.9721411976083908,32.43343157468035,0.0,324.3343157468035,0.0,293.1578876431612,617.4922033899647
17,|,30.6842112356839,29.31578876431611,29.315788764316103,36.503811727047335,36.50381172704732,36.503811727047335,36.503811727047335,0.9520477218937341,23.496188272952665,0.0,234.96188272952665,0.0,0.0,234.96188272952665,|,30.684211235683897,29.315788764316096,29.315788764316117,36.50381172704732,36.50381172704733,36.50381172704732,36.50381172704732,0.952047721893734,23.496188272952693,0.0,234.96188272952693,0.0,365.0381172704732,600.0000000000001,|,32.43343157468035,27.56656842531966,27.56656842531966,36.50381172704733,36.50381172704732,36.50381172704733,36.50381172704733,0.9732655907486844,23.49618827295268,0.0,234.9618827295268,0.0,365.03811727047326,600.0
