t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
13,|,7.0,[0],7.0,16.0,4.0,"[0, 8.0, 0]",0.0,4.0,0.0,0.125,-13.0,0.0,1300.0,0.0,1300.0,|,7.0,[0],7.0,11.0,8.0,"[0, 7.0, 0]",0.0,8.0,0.0,0.2375,-8.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,3.0,0.5125,-4.0,0,0.0,0.0,0.0
14,|,2.0,[0],2.0,10.0,8.0,"[0, 7.0, 0]",0.0,8.0,0.0,0.12195121951219512,-7.0,0.0,700.0,0.0,700.0,|,2.0,[0],2.0,6.0,7.0,"[0, 6.0, 0]",0.0,7.0,0.0,0.23170731707317074,-3.0,0.0,0.0,0.0,0.0,|,2.0,[0],2.0,2.0,7.0,"[0, 2.0, 0]",0.0,6.0,2.0,0.524390243902439,1.0,1.0,0,0.0,1.0
15,|,8.0,[0],8.0,11.0,7.0,"[0, 6.0, 0]",0.0,7.0,0.0,0.1111111111111111,-8.0,0.0,800.0,0.0,800.0,|,8.0,[0],8.0,8.0,6.0,"[0, 3.0, 0]",0.0,6.0,3.0,0.24444444444444444,-5.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,2.0,"[0, 8.0, 0]",0.0,3.0,3.0,0.5111111111111111,-5.0,0,0.0,0.0,0.0
16,|,0,[0],0.0,5.0,6.0,"[0, 3.0, 0]",0.0,6.0,0.0,0.1111111111111111,-2.0,0.0,200.0,0.0,200.0,|,0.0,[0],0.0,5.0,3.0,"[0, 5.0, 0]",0.0,3.0,0.0,0.24444444444444444,-2.0,0.0,0.0,0.0,0.0,|,0.0,[0],0.0,0.0,8.0,"[0, 0.0, 0]",0.0,5.0,0.0,0.5111111111111111,3.0,3.0,0,0.0,3.0
17,|,2.0,[0],2.0,4.0,3.0,"[0, 4.0, 0]",0.0,3.0,1.0,0.11956521739130435,-1.0,0.0,100.0,0.0,100.0,|,2.0,[0],2.0,2.0,5.0,"[0, 2.0, 0]",0.0,4.0,2.0,0.2608695652173913,1.0,5.0,0,0.0,5.0,|,2.0,[0],2.0,2.0,0.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.5217391304347826,1.0,1.0,0,0.0,1.0
18,|,7.0,[0],7.0,7.0,4.0,"[0, 3.0, 0]",0.0,4.0,3.0,0.1414141414141414,-4.0,0.0,400.0,0.0,400.0,|,7.0,[0],7.0,7.0,2.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.2727272727272727,-4.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,3.0,3.0,0.5151515151515151,-4.0,0,0.0,0.0,0.0
19,|,9.0,[0],9.0,13.0,3.0,"[0, 3.0, 0]",0.0,3.0,0.0,0.12962962962962962,-10.0,0.0,1000.0,0.0,1000.0,|,9.0,[0],9.0,13.0,3.0,"[0, 7.0, 0]",0.0,3.0,0.0,0.25,-10.0,0.0,0.0,0.0,0.0,|,9.0,[0],9.0,9.0,7.0,"[0, 9.0, 0]",0.0,7.0,3.0,0.5,-6.0,0,0.0,0.0,0.0
20,|,5.0,[0],5.0,15.0,3.0,"[0, 7.0, 0]",0.0,3.0,0.0,0.12389380530973451,-12.0,0.0,1200.0,0.0,1200.0,|,5.0,[0],5.0,11.0,7.0,"[0, 9.0, 0]",0.0,7.0,0.0,0.23893805309734514,-8.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,9.0,3.0,0.504424778761062,-2.0,0,0.0,0.0,0.0
21,|,3.0,[0],3.0,11.0,7.0,"[0, 9.0, 0]",0.0,7.0,0.0,0.1206896551724138,-8.0,0.0,800.0,0.0,800.0,|,3.0,[0],3.0,5.0,9.0,"[0, 5.0, 0]",0.0,9.0,1.0,0.2413793103448276,-2.0,0.0,0.0,0.0,0.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,5.0,3.0,0.5172413793103449,0.0,0,0,0.0,0.0
22,|,8.0,[0],8.0,10.0,9.0,"[0, 5.0, 0]",0.0,9.0,1.0,0.12096774193548387,-7.0,0.0,700.0,0.0,700.0,|,8.0,[0],8.0,8.0,5.0,"[0, 3.0, 0]",0.0,5.0,3.0,0.25,-5.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,3.0,"[0, 8.0, 0]",0.0,3.0,3.0,0.5080645161290323,-5.0,0,0.0,0.0,0.0
23,|,8.0,[0],8.0,13.0,5.0,"[0, 3.0, 0]",0.0,5.0,0.0,0.11363636363636363,-10.0,0.0,1000.0,0.0,1000.0,|,8.0,[0],8.0,13.0,3.0,"[0, 8.0, 0]",0.0,3.0,0.0,0.23484848484848486,-10.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,8.0,"[0, 8.0, 0]",0.0,8.0,3.0,0.5,-5.0,0,0.0,0.0,0.0
24,|,10.0,[0],10.0,20.0,3.0,"[0, 8.0, 0]",0.0,3.0,0.0,0.1056338028169014,-17.0,0.0,1700.0,0.0,1700.0,|,10.0,[0],10.0,15.0,8.0,"[0, 8.0, 0]",0.0,8.0,0.0,0.21830985915492956,-12.0,0.0,0.0,0.0,0.0,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,8.0,3.0,0.4859154929577465,-7.0,0,0.0,0.0,0.0
25,|,5.0,[0],5.0,17.0,8.0,"[0, 8.0, 0]",0.0,8.0,0.0,0.10204081632653061,-14.0,0.0,1400.0,0.0,1400.0,|,5.0,[0],5.0,12.0,8.0,"[0, 10.0, 0]",0.0,8.0,0.0,0.2108843537414966,-9.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,10.0,"[0, 5.0, 0]",0.0,10.0,3.0,0.4897959183673469,-2.0,0,0.0,0.0,0.0
26,|,8.0,[0],8.0,17.0,8.0,"[0, 10.0, 0]",0.0,8.0,0.0,0.0967741935483871,-14.0,0.0,1400.0,0.0,1400.0,|,8.0,[0],8.0,10.0,10.0,"[0, 5.0, 0]",0.0,10.0,1.0,0.2064516129032258,-7.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,5.0,"[0, 8.0, 0]",0.0,5.0,3.0,0.4838709677419355,-5.0,0,0.0,0.0,0.0
