t,|i=0,IO:EXT,IOPL:EXT,OQ:1,OQ:2,OO:1,OO:2,IS:1,IS:2,ISPL:1,ISPL:2,RM:1,RM:2,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC
10,|,43.48706562442514,[0],43.48706562442514,43.48706562442514,44.656023433049334,43.48706562442514,50.00000000000001,51.1689578086242,"[0, 44.656023433049334, 0]","[0, 43.48706562442514, 0]",0.0,1.1689578086242065,43.48706562442514,43.48706562442514,0.9064232195061549,15.343976566950658,165.12934375574866,0,0.0,165.12934375574866,|,43.48706562442514,[0],43.48706562442514,43.48706562442515,51.16895780862419,"[0, 43.48706562442514, 0]",0.0,44.656023433049334,43.48706562442514,0.9029163132775817,6.512934375574858,65.12934375574858,0,446.56023433049336,511.6895780862419,|,43.48706562442514,[0],43.487065624425135,43.48706562442514,51.1689578086242,"[0, 43.487065624425135, 0]",0.0,43.48706562442514,43.48706562442514,0.9626959704456269,16.512934375574865,165.12934375574866,0,434.87065624425145,600.0000000000001
11,|,61.38417397298955,[0],61.38417397298956,61.384173972989544,61.38417397298955,61.384173972989544,44.656023433049334,43.48706562442514,"[0, 50.0, 0]","[0, 60.0, 0]",0.0,1.4210854715202004e-14,59.99999999999999,59.99999999999999,0.9133927920370041,-1.384173972989558,1.4210854715202004e-13,13.841739729895579,0.0,13.841739729895721,|,61.38417397298956,[0],61.38417397298955,61.38417397298956,43.48706562442514,"[0, 61.38417397298955, 0]",0.0,50.0,50.0,0.8942445943825215,-11.384173972989558,0,113.84173972989558,500.0,613.8417397298956,|,61.384173972989544,[0],61.38417397298954,61.38417397298954,43.487065624425135,"[0, 61.38417397298954, 0]",0.0,60.0,60.0,0.9641437736559905,-1.3841739729895437,0,13.841739729895437,600.0,613.8417397298954
12,|,58.46005835150972,[0],58.46005835150973,58.46005835150972,69.84423232449927,59.84423232449927,50.0,60.0,"[0, 61.38417397298955, 0]","[0, 59.844232324499266, 0]",0.0,10.000000000000014,50.0,48.61582602701044,0.9064030904718564,-9.84423232449928,100.00000000000014,98.4423232449928,0.0,198.44232324499296,|,58.46005835150973,[0],58.46005835150973,58.46005835150974,61.38417397298955,"[0, 58.46005835150973, 0]",0.0,61.38417397298955,49.99999999999999,0.8909149317878408,-8.460058351509737,0,84.60058351509737,613.8417397298955,698.4423232449928,|,58.46005835150972,[0],58.46005835150973,58.46005835150974,61.38417397298954,"[0, 58.46005835150973, 0]",0.0,59.844232324499266,58.46005835150972,0.9672081936159763,1.5399416484902702,15.399416484902702,0,598.4423232449926,613.8417397298954
13,|,58.1362227401783,[0],58.136222740178304,58.13622274017829,66.59628109168804,58.13622274017829,61.38417397298955,59.844232324499266,"[0, 58.46005835150973, 0]","[0, 58.13622274017829, 0]",0.0,8.460058351509723,61.38417397298955,51.53994164849027,0.9048469574765763,-6.596281091688027,84.60058351509723,65.96281091688027,0.0,150.56339443197749,|,58.136222740178304,[0],58.136222740178304,58.13622274017831,58.46005835150973,"[0, 58.136222740178304, 0]",0.0,58.46005835150973,49.99999999999999,0.8884971076352537,-8.136222740178312,0,81.36222740178312,584.6005835150972,665.9628109168804,|,58.13622274017829,[0],58.13622274017828,58.13622274017828,58.46005835150973,"[0, 58.13622274017828, 0]",0.0,58.13622274017829,58.13622274017829,0.9697768771665034,1.8637772598217097,18.637772598217097,0,581.3622274017829,600.0
14,|,36.45920065124633,[0],36.45920065124631,36.45920065124634,44.59542339142462,36.45920065124634,58.46005835150973,58.13622274017829,"[0, 44.595423391424625, 0]","[0, 36.45920065124634, 0]",0.0,8.136222740178283,43.055481742934354,36.45920065124633,0.909302503114428,15.404576608575375,235.4079934875366,0,0.0,235.4079934875366,|,36.45920065124631,[0],36.45920065124631,36.45920065124631,58.136222740178304,"[0, 36.45920065124631, 0]",0.0,44.595423391424625,36.45920065124631,0.8937182357516908,13.54079934875368,135.4079934875368,0,445.95423391424623,581.362227401783,|,36.45920065124634,[0],36.45920065124635,36.45920065124635,58.13622274017828,"[0, 36.45920065124635, 0]",0.0,36.45920065124634,36.45920065124634,0.9711920762976283,23.54079934875365,235.40799348753652,0,364.5920065124634,599.9999999999999
15,|,61.74922033899645,[0],61.74922033899646,61.74922033899645,61.749220338996444,61.749220338996444,44.595423391424625,36.45920065124634,"[0, 49.99999999999999, 0]","[0, 60.0, 0]",0.0,0.0,60.0,60.0,0.9138853121853866,-1.7492203389964516,0.0,17.492203389964516,0.0,17.492203389964516,|,61.74922033899646,[0],61.749220338996466,61.74922033899647,36.45920065124631,"[0, 61.749220338996466, 0]",0.0,49.99999999999999,49.99999999999999,0.8875467020501072,-11.749220338996466,0,117.49220338996466,499.99999999999994,617.4922033899646,|,61.74922033899645,[0],61.74922033899645,61.74922033899645,36.45920065124635,"[0, 61.74922033899645, 0]",0.0,60.0,60.0,0.9712273539771358,-1.7492203389964516,0,17.492203389964516,600.0,617.4922033899645
16,|,27.566568425319655,[0],27.56656842531966,27.56656842531966,39.3157887643161,29.315788764316096,49.99999999999999,60.0,"[0, 39.315788764316125, 0]","[0, 29.31578876431611, 0]",0.0,10.000000000000007,29.315788764316107,27.566568425319655,0.9166203876787692,20.684211235683886,306.8421123568389,0,0.0,306.8421123568389,|,27.56656842531966,[0],27.56656842531965,27.56656842531966,61.749220338996466,"[0, 27.56656842531965, 0]",0.0,39.315788764316125,27.56656842531966,0.8911183141313695,22.43343157468034,224.3343157468034,0,393.15788764316125,617.4922033899646,|,27.56656842531966,[0],27.56656842531966,27.56656842531966,61.74922033899645,"[0, 27.56656842531966, 0]",0.0,29.31578876431611,27.56656842531966,0.9721411976083909,32.43343157468034,324.33431574680344,0,293.1578876431611,617.4922033899645
17,|,36.503811727047335,[0],36.50381172704735,36.50381172704734,36.50381172704732,36.503811727047335,39.315788764316125,29.31578876431611,"[0, 36.50381172704735, 0]","[0, 36.50381172704734, 0]",7.105427357601002e-15,0.0,36.503811727047335,36.503811727047335,0.9199856243754683,23.496188272952665,234.96188272952674,0,0.0,234.96188272952674,|,36.50381172704735,[0],36.50381172704735,36.503811727047356,27.56656842531965,"[0, 36.50381172704735, 0]",0.0,36.50381172704735,36.50381172704735,0.8955128253875736,13.496188272952644,134.96188272952645,0,365.0381172704735,499.99999999999994,|,36.50381172704734,[0],36.50381172704734,36.503811727047335,27.56656842531966,"[0, 36.50381172704734, 0]",0.0,36.50381172704734,36.50381172704734,0.9732655907486845,23.496188272952658,234.96188272952656,0,365.03811727047344,600.0
18,|,60.362129379727676,[0],60.36212937972768,60.362129379727676,60.36212937972766,60.36212937972767,36.50381172704735,36.50381172704734,"[0, 49.99999999999999, 0]","[0, 60.0, 0]",1.4210854715202004e-14,0.0,60.00000000000001,60.00000000000001,0.9246162967633065,-0.36212937972766923,1.4210854715202004e-13,3.6212937972766923,0.0,3.6212937972768344,|,60.36212937972768,[0],60.36212937972768,60.36212937972769,36.50381172704735,"[0, 60.36212937972768, 0]",0.0,49.99999999999999,49.99999999999999,0.8913098523801304,-10.36212937972769,0,103.6212937972769,499.99999999999994,603.6212937972768,|,60.362129379727676,[0],60.36212937972768,60.36212937972767,36.50381172704734,"[0, 60.36212937972768, 0]",0.0,60.0,60.0,0.974562861070742,-0.36212937972767634,0,3.6212937972767634,600.0,603.6212937972767
19,|,66.64064414125252,[0],66.64064414125252,66.64064414125252,77.00277352098018,67.00277352098018,49.99999999999999,60.0,"[0, 60.36212937972768, 0]","[0, 60.36212937972768, 0]",0.0,9.999999999999993,50.00000000000001,49.63787062027234,0.9130023810496675,-17.002773520980185,99.99999999999993,170.02773520980185,0.0,270.0277352098018,|,66.64064414125252,[0],66.64064414125252,66.64064414125252,60.36212937972768,"[0, 66.64064414125252, 0]",0.0,60.36212937972768,49.99999999999999,0.8821989142702155,-16.64064414125253,0,166.40644141252528,603.6212937972768,770.0277352098021,|,66.64064414125252,[0],66.64064414125252,66.6406441412525,60.36212937972768,"[0, 66.64064414125252, 0]",0.0,60.36212937972768,60.00000000000001,0.9697681503166657,-6.6406441412525155,0,66.40644141252515,603.6212937972768,670.027735209802
