t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
8,|,1.4720973215434991,5.0179026784565,5.017902678456503,4.569994231812477,4.569994231812478,4.569994231812477,4.569994231812477,0.9032872963114549,1.9200057681875249,0.0,13.440040377312673,0.0,0.0,13.440040377312673,|,0.7915892959279986,5.48619035378809,5.486190353788093,4.569994231812478,3.8222145820963878,4.569994231812478,4.569994231812478,0.9135437909008504,1.7077854179036134,0.0,6.8311416716144535,0.0,18.279976927249912,25.111118598864365,|,2.2449345232779914,8.913353152053595,1.1537245303311856,3.8222145820963878,2.606147257048711,3.398659053609177,3.398659053609177,0.8675191944806341,-0.4235555284872108,0.4235555284872108,0.0,0.0,6.797318107218354,6.797318107218354
9,|,1.9200057681875249,4.569994231812474,4.569994231812478,5.11689578086242,5.1168957808624205,5.11689578086242,5.11689578086242,0.9127912231414145,1.3731042191375833,0.0,9.611729533963082,0.0,0.0,9.611729533963082,|,1.7077854179036134,3.822214582096386,3.398659053609177,5.1168957808624205,5.116895780862417,5.10644447151279,5.10644447151279,0.921839098464214,-0.010451309349630122,0.010451309349630122,0.0,0.0,20.42577788605116,20.42577788605116,|,-0.4235555284872108,10.365775878771121,7.75962862172241,5.116895780862417,5.8646754305785045,5.540451309349628,5.116895780862417,0.8805380413746775,2.219177312372782,0.0,4.438354624745564,0.0,11.080902618699255,15.51925724344482
10,|,1.3731042191375833,5.116895780862416,5.10644447151279,4.348706562442514,4.348706562442515,4.348706562442514,4.348706562442514,0.9195132105678203,2.13084212820786,0.0,14.915894897455019,0.0,0.0,14.915894897455019,|,-0.010451309349630122,5.540451309349627,5.540451309349628,4.348706562442515,4.348706562442515,4.359157871792145,4.348706562442515,0.9278636824141995,1.1812934375574828,0.0,4.725173750229931,0.0,17.43663148716858,22.16180523739851,|,2.219177312372782,8.470822687627216,2.606147257048711,4.348706562442515,4.348706562442516,4.348706562442515,4.348706562442515,0.8897460799774363,0.4766180069789785,0.0,0.953236013957957,0.0,8.69741312488503,9.650649138842986
11,|,2.13084212820786,4.3591578717921395,4.359157871792145,6.138417397298955,6.138417397298956,6.138417397298955,6.138417397298955,0.9274109848399371,0.3515826027010496,0.0,2.461078218907347,0.0,0.0,2.461078218907347,|,1.1812934375574828,4.348706562442514,4.348706562442515,6.138417397298956,6.138417397298954,5.529999999999998,5.529999999999998,0.9252162661085344,-0.6084173972989584,0.6084173972989584,0.0,0.0,22.11999999999999,22.11999999999999,|,0.4766180069789785,10.21338199302102,5.8646754305785045,6.138417397298954,6.138417397298955,6.138417397298954,6.138417397298954,0.9005647569192958,0.2028760402585288,0.0,0.4057520805170576,0.0,12.276834794597908,12.682586875114966
12,|,0.3515826027010496,6.138417397298951,5.529999999999998,5.846005835150972,5.846005835150972,5.846005835150972,5.846005835150972,0.9336147393789135,0.035576767550074884,0.0,0.24903737285052419,0.0,0.0,0.24903737285052419,|,-0.6084173972989584,6.138417397298952,6.138417397298954,5.846005835150972,5.846005835150972,6.138417397298954,5.529999999999996,0.9269878287558484,-0.31600583515097647,0.31600583515097647,0.0,0.0,24.553669589195817,24.553669589195817,|,0.2028760402585288,10.48712395974147,4.348706562442516,5.846005835150972,5.846005835150972,4.551582602701044,4.551582602701044,0.8901394309088299,-1.2944232324499279,1.2944232324499279,0.0,0.0,9.103165205402089,9.103165205402089
13,|,0.035576767550074884,6.454423232449926,6.138417397298954,5.813622274017829,5.8136222740178285,5.813622274017829,5.813622274017829,0.9388149020341161,0.3603718908311997,0.0,2.522603235818398,0.0,0.0,2.522603235818398,|,-0.31600583515097647,5.84600583515097,4.551582602701044,5.8136222740178285,5.8136222740178285,4.551582602701044,4.235576767550068,0.9114444191686982,-1.5780455064677605,1.5780455064677605,0.0,0.0,18.206330410804178,18.206330410804178,|,-1.2944232324499279,11.984423232449927,6.138417397298955,5.8136222740178285,5.813622274017828,6.138417397298955,4.843994164849027,0.8856803222727777,-0.9696281091688013,0.9696281091688013,0.0,0.0,12.27683479459791,12.27683479459791
14,|,0.3603718908311997,6.1296281091688,4.551582602701044,3.6459200651246326,3.6459200651246335,3.6459200651246326,3.6459200651246326,0.9416798970895954,1.2660344284076115,0.0,8.86224099885328,0.0,0.0,8.86224099885328,|,-1.5780455064677605,7.108045506467754,6.138417397298955,3.6459200651246335,3.645920065124635,5.2239655715923945,3.645920065124634,0.915591038356237,0.914451825706561,0.0,3.657807302826244,0.0,20.895862286369578,24.55366958919582,|,-0.9696281091688013,11.6596281091688,5.846005835150972,3.645920065124635,3.645920065124635,4.615548174293436,3.645920065124635,0.8910333464947069,1.2304576608575362,0.0,2.4609153217150723,0.0,9.231096348586872,11.692011670301945
15,|,1.2660344284076115,5.223965571592389,5.2239655715923945,6.174922033899645,6.174922033899645,6.174922033899645,6.174922033899645,0.9459651504060574,0.3150779661003602,0.0,2.2055457627025215,0.0,0.0,2.2055457627025215,|,0.914451825706561,4.6155481742934334,4.615548174293436,6.174922033899645,6.174922033899645,5.529999999999998,5.529999999999998,0.914119037903988,-0.6449220338996478,0.6449220338996478,0.0,0.0,22.11999999999999,22.11999999999999,|,1.2304576608575362,9.459542339142462,5.813622274017828,6.174922033899645,6.1749220338996444,6.174922033899645,6.174922033899645,0.8990400146934011,0.8691579009757184,0.0,1.7383158019514369,0.0,12.34984406779929,14.088159869750728
16,|,0.3150779661003602,6.174922033899641,5.529999999999998,2.7566568425319655,2.7566568425319646,2.7566568425319655,2.7566568425319655,0.9476813430401313,3.0884211235683923,0.0,21.618947864978747,0.0,0.0,21.618947864978747,|,-0.6449220338996478,6.174922033899642,6.174922033899645,2.7566568425319646,2.7566568425319637,3.4015788764316124,2.7566568425319646,0.9168466900703941,2.773343157468033,0.0,11.093372629872132,0.0,13.60631550572645,24.69968813559858,|,0.8691579009757184,9.82084209902428,3.645920065124635,2.7566568425319637,2.7566568425319637,2.7566568425319637,2.7566568425319637,0.9022465894210341,1.7584211235683895,0.0,3.516842247136779,0.0,5.5133136850639275,9.030155932200707
17,|,3.0884211235683923,3.401578876431607,3.4015788764316124,3.6503811727047335,3.6503811727047344,3.6503811727047335,3.6503811727047335,0.9497929463376502,2.839618827295271,0.0,19.877331791066897,0.0,0.0,19.877331791066897,|,2.773343157468033,2.7566568425319593,2.7566568425319637,3.6503811727047344,3.650381172704737,3.6503811727047344,3.6503811727047344,0.9202027931060981,1.8796188272952623,0.0,7.518475309181049,0.0,14.601524690818938,22.119999999999987,|,1.7584211235683895,8.931578876431608,6.1749220338996444,3.650381172704737,3.650381172704737,3.650381172704737,3.650381172704737,0.9061919587427391,4.282961984763297,0.0,8.565923969526594,0.0,7.300762345409474,15.866686314936068
